tabela,variavel_id,variavel,unidade,categorias,categorias_ids,fonte,tema,campo,municipios_com_registro,valores_numericos,divulgacao,fonte_divulgacao,camada
4709,10605,Taxa de crescimento geométrico,%,,[],https://sidra.ibge.gov.br/tabela/4709,01_populacao,V01000001,645,645,Censo Demográfico | População e Domicílios - Primeiros Resultados do Universo,https://sidra.ibge.gov.br/pesquisa/censo-demografico/demografico-2022/primeiros-resultados-populacao-e-domicilios,01_populacao_01
4709,5936,Variação absoluta da população residente 2010 compatibilizada,Pessoas,,[],https://sidra.ibge.gov.br/tabela/4709,01_populacao,V01000002,645,645,Censo Demográfico | População e Domicílios - Primeiros Resultados do Universo,https://sidra.ibge.gov.br/pesquisa/censo-demografico/demografico-2022/primeiros-resultados-populacao-e-domicilios,01_populacao_01
4709,93,População residente,Pessoas,,[],https://sidra.ibge.gov.br/tabela/4709,01_populacao,V01000003,645,645,Censo Demográfico | População e Domicílios - Primeiros Resultados do Universo,https://sidra.ibge.gov.br/pesquisa/censo-demografico/demografico-2022/primeiros-resultados-populacao-e-domicilios,01_populacao_01
4714,614,Densidade demográfica,Habitante por quilômetro quadrado,,[],https://sidra.ibge.gov.br/tabela/4714,01_populacao,V01000004,645,645,Censo Demográfico | População e Domicílios - Primeiros Resultados do Universo,https://sidra.ibge.gov.br/pesquisa/censo-demografico/demografico-2022/primeiros-resultados-populacao-e-domicilios,01_populacao_01
4714,6318,Área da unidade territorial,Quilômetros quadrados,,[],https://sidra.ibge.gov.br/tabela/4714,01_populacao,V01000005,645,645,Censo Demográfico | População e Domicílios - Primeiros Resultados do Universo,https://sidra.ibge.gov.br/pesquisa/censo-demografico/demografico-2022/primeiros-resultados-populacao-e-domicilios,01_populacao_01
4714,93,População residente,Pessoas,,[],https://sidra.ibge.gov.br/tabela/4714,01_populacao,V01000006,645,645,Censo Demográfico | População e Domicílios - Primeiros Resultados do Universo,https://sidra.ibge.gov.br/pesquisa/censo-demografico/demografico-2022/primeiros-resultados-populacao-e-domicilios,01_populacao_01
9514,1000093,População residente - percentual do total geral,Percentual,Sexo: Homens | Idade: Total | Forma de declaração da idade: Total,"[[""2"", ""4""], [""287"", ""100362""], [""286"", ""113635""]]",https://sidra.ibge.gov.br/tabela/9514,01_populacao,V01000007,645,645,Censo Demográfico | População por Idade e Sexo - Resultados do Universo,https://sidra.ibge.gov.br/pesquisa/censo-demografico/demografico-2022/universo-populacao-por-idade-e-sexo,01_populacao_01
9514,1000093,População residente - percentual do total geral,Percentual,Sexo: Mulheres | Idade: Total | Forma de declaração da idade: Total,"[[""2"", ""5""], [""287"", ""100362""], [""286"", ""113635""]]",https://sidra.ibge.gov.br/tabela/9514,01_populacao,V01000008,645,645,Censo Demográfico | População por Idade e Sexo - Resultados do Universo,https://sidra.ibge.gov.br/pesquisa/censo-demografico/demografico-2022/universo-populacao-por-idade-e-sexo,01_populacao_01
9514,1000093,População residente - percentual do total geral,Percentual,Sexo: Total | Idade: Total | Forma de declaração da idade: Total,"[[""2"", ""6794""], [""287"", ""100362""], [""286"", ""113635""]]",https://sidra.ibge.gov.br/tabela/9514,01_populacao,V01000009,645,645,Censo Demográfico | População por Idade e Sexo - Resultados do Universo,https://sidra.ibge.gov.br/pesquisa/censo-demografico/demografico-2022/universo-populacao-por-idade-e-sexo,01_populacao_01
9514,1000093,População residente - percentual do total geral,Percentual,Sexo: Total | Idade: 80 a 84 anos | Forma de declaração da idade: Total,"[[""2"", ""6794""], [""287"", ""49108""], [""286"", ""113635""]]",https://sidra.ibge.gov.br/tabela/9514,01_populacao,V01000010,645,645,Censo Demográfico | População por Idade e Sexo - Resultados do Universo,https://sidra.ibge.gov.br/pesquisa/censo-demografico/demografico-2022/universo-populacao-por-idade-e-sexo,01_populacao_01
