codigo_fonte_6,CD_MUN
350010,3500105
350020,3500204
350030,3500303
350040,3500402
350050,3500501
350055,3500550
350060,3500600
350070,3500709
350075,3500758
350080,3500808
350090,3500907
350100,3501004
350110,3501103
350115,3501152
350120,3501202
350130,3501301
350140,3501400
350150,3501509
350160,3501608
350170,3501707
350180,3501806
350190,3501905
350200,3502002
350210,3502101
350220,3502200
350230,3502309
350240,3502408
350250,3502507
350260,3502606
350270,3502705
350275,3502754
350280,3502804
350290,3502903
350300,3503000
350310,3503109
350315,3503158
350320,3503208
350330,3503307
350335,3503356
350340,3503406
350350,3503505
350360,3503604
350370,3503703
350380,3503802
350390,3503901
350395,3503950
350400,3504008
350410,3504107
350420,3504206
350430,3504305
350440,3504404
350450,3504503
350460,3504602
350470,3504701
350480,3504800
350490,3504909
350500,3505005
350510,3505104
350520,3505203
350530,3505302
350535,3505351
350540,3505401
350550,3505500
350560,3505609
350570,3505708
350580,3505807
350590,3505906
350600,3506003
350610,3506102
350620,3506201
350630,3506300
350635,3506359
350640,3506409
350650,3506508
350660,3506607
350670,3506706
350680,3506805
350690,3506904
350700,3507001
350710,3507100
350715,3507159
350720,3507209
350730,3507308
350740,3507407
350745,3507456
350750,3507506
350760,3507605
350770,3507704
350775,3507753
350780,3507803
350790,3507902
350800,3508009
350810,3508108
350820,3508207
350830,3508306
350840,3508405
350850,3508504
350860,3508603
350870,3508702
350880,3508801
350890,3508900
350900,3509007
350910,3509106
350920,3509205
350925,3509254
350930,3509304
350940,3509403
350945,3509452
350950,3509502
350960,3509601
350970,3509700
350980,3509809
350990,3509908
350995,3509957
351000,3510005
351010,3510104
351015,3510153
351020,3510203
351030,3510302
351040,3510401
351050,3510500
351060,3510609
351070,3510708
351080,3510807
351090,3510906
351100,3511003
351110,3511102
351120,3511201
351130,3511300
351140,3511409
351150,3511508
351160,3511607
351170,3511706
351190,3511904
351200,3512001
351210,3512100
351220,3512209
351230,3512308
351240,3512407
351250,3512506
351260,3512605
351270,3512704
351280,3512803
351290,3512902
351300,3513009
351310,3513108
351320,3513207
351330,3513306
351340,3513405
351350,3513504
351360,3513603
351370,3513702
351380,3513801
351385,3513850
351390,3513900
351400,3514007
351410,3514106
351420,3514205
351430,3514304
351440,3514403
351450,3514502
351460,3514601
351470,3514700
351480,3514809
351490,3514908
351492,3514924
351495,3514957
351500,3515004
351510,3515103
351512,3515129
351515,3515152
351518,3515186
351519,3515194
351520,3515202
351530,3515301
351535,3515350
351540,3515400
351550,3515509
351560,3515608
351565,3515657
351570,3515707
351580,3515806
351590,3515905
351600,3516002
351610,3516101
351620,3516200
351630,3516309
351640,3516408
351650,3516507
351660,3516606
351670,3516705
351680,3516804
351685,3516853
351690,3516903
351700,3517000
351710,3517109
351720,3517208
351730,3517307
351740,3517406
351750,3517505
351760,3517604
351770,3517703
351780,3517802
351790,3517901
351800,3518008
351810,3518107
351820,3518206
351830,3518305
351840,3518404
351850,3518503
351860,3518602
351870,3518701
351880,3518800
351885,3518859
351890,3518909
351900,3519006
351905,3519055
351907,3519071
351910,3519105
351920,3519204
351925,3519253
351930,3519303
351940,3519402
351950,3519501
351960,3519600
351970,3519709
351980,3519808
351990,3519907
352000,3520004
352010,3520103
352020,3520202
352030,3520301
352040,3520400
352042,3520426
352044,3520442
352050,3520509
352060,3520608
352070,3520707
352080,3520806
352090,3520905
352100,3521002
352110,3521101
352115,3521150
352120,3521200
352130,3521309
352140,3521408
352150,3521507
352160,3521606
352170,3521705
352180,3521804
352190,3521903
352200,3522000
352210,3522109
352215,3522158
352220,3522208
352230,3522307
352240,3522406
352250,3522505
352260,3522604
352265,3522653
352270,3522703
352280,3522802
352290,3522901
352300,3523008
352310,3523107
352320,3523206
352330,3523305
352340,3523404
352350,3523503
352360,3523602
352370,3523701
352380,3523800
352390,3523909
352400,3524006
352410,3524105
352420,3524204
352430,3524303
352440,3524402
352450,3524501
352460,3524600
352470,3524709
352480,3524808
352490,3524907
352500,3525003
352510,3525102
352520,3525201
352530,3525300
352540,3525409
352550,3525508
352560,3525607
352570,3525706
352580,3525805
352585,3525854
352590,3525904
352600,3526001
352610,3526100
352620,3526209
352630,3526308
352640,3526407
352650,3526506
352660,3526605
352670,3526704
352680,3526803
352690,3526902
352700,3527009
352710,3527108
352720,3527207
352725,3527256
352730,3527306
352740,3527405
352750,3527504
352760,3527603
352770,3527702
352780,3527801
352790,3527900
352800,3528007
352810,3528106
352820,3528205
352830,3528304
352840,3528403
352850,3528502
352860,3528601
352870,3528700
352880,3528809
352885,3528858
352890,3528908
352900,3529005
352910,3529104
352920,3529203
352930,3529302
352940,3529401
352950,3529500
352960,3529609
352965,3529658
352970,3529708
352980,3529807
352990,3529906
353000,3530003
353010,3530102
353020,3530201
353030,3530300
353040,3530409
353050,3530508
