ordem_atributo,tema,campo,ano,indicador,unidade,multiplicador,fonte,codigo_indicador,url_fonte,definicao,nota,municipios_com_valor
5,idh,idh_idhm_2010,2010,IDHM - Índice de Desenvolvimento Humano Municipal (Censo),-,,Ipeadata / Atlas do Desenvolvimento Humano (Censo Demográfico),ADH_IDHM,https://www.ipeadata.gov.br/api/odata4/Metadados('ADH_IDHM')/Valores,"O Índice de Desenvolvimento Humano (IDH) foi criado com base nas três dimensões conceituais básicas do desenvolvimento humano: uma vida longa e saudável, acesso ao conhecimento e um padrão de vida decente. Mais Informações:   Atlas do Desenvolvimento Humano no Brasil  . .  Para acessar outras desagregações, utilize os atalhos a seguir: 
 Brasil  |  por Região  |  por UF .
 Para acessar as  séries encadeadas (Censo + Pnad) , utilize os atalhos a seguir:  
 IDHM Longevidade  | 
 IDHM Educação  | 
 IDHM Renda  | 
 IDHM .
  Ipeadata - Página principal .",Referencia historica de 2010; nao e um indicador de 2022.,645
6,idh,idh_idhm_e_2010,2010,IDHM - Índice de Desenvolvimento Humano Municipal - educação (Censo),-,,Ipeadata / Atlas do Desenvolvimento Humano (Censo Demográfico),ADH_IDHM_E,https://www.ipeadata.gov.br/api/odata4/Metadados('ADH_IDHM_E')/Valores,"O Índice de Desenvolvimento Humano (IDH) foi criado com base nas três dimensões conceituais básicas do desenvolvimento humano: uma vida longa e saudável, acesso ao conhecimento e um padrão de vida decente. Mais Informações:   Atlas do Desenvolvimento Humano no Brasil  . . Para acessar outras desagregações, utilize os atalhos a seguir: 
 Brasil  |  por Região  |  por UF .
 Para acessar as  séries encadeadas (Censo + Pnad) , utilize os atalhos a seguir:  
 IDHM Longevidade  | 
 IDHM Educação  | 
 IDHM Renda  | 
 IDHM .
  Ipeadata - Página principal .",Referencia historica de 2010; nao e um indicador de 2022.,645
7,idh,idh_idhm_l_2010,2010,IDHM - Índice de Desenvolvimento Humano Municipal - longevidade (Censo),-,,Ipeadata / Atlas do Desenvolvimento Humano (Censo Demográfico),ADH_IDHM_L,https://www.ipeadata.gov.br/api/odata4/Metadados('ADH_IDHM_L')/Valores,"O Índice de Desenvolvimento Humano (IDH) foi criado com base nas três dimensões conceituais básicas do desenvolvimento humano: uma vida longa e saudável, acesso ao conhecimento e um padrão de vida decente. Mais Informações:   Atlas do Desenvolvimento Humano no Brasil  . . Para acessar outras desagregações, utilize os atalhos a seguir: 
 Brasil  |  por Região  |  por UF .
 Para acessar as  séries encadeadas (Censo + Pnad) , utilize os atalhos a seguir:  
 IDHM Longevidade  | 
 IDHM Educação  | 
 IDHM Renda  | 
 IDHM .
  Ipeadata - Página principal .",Referencia historica de 2010; nao e um indicador de 2022.,645
8,idh,idh_idhm_r_2010,2010,IDHM - Índice de Desenvolvimento Humano Municipal - renda (Censo),-,,Ipeadata / Atlas do Desenvolvimento Humano (Censo Demográfico),ADH_IDHM_R,https://www.ipeadata.gov.br/api/odata4/Metadados('ADH_IDHM_R')/Valores,"O Índice de Desenvolvimento Humano (IDH) foi criado com base nas três dimensões conceituais básicas do desenvolvimento humano: uma vida longa e saudável, acesso ao conhecimento e um padrão de vida decente. Mais Informações:   Atlas do Desenvolvimento Humano no Brasil  . .  Para acessar outras desagregações, utilize os atalhos a seguir: 
 Brasil  |  por Região  |  por UF .
 Para acessar as  séries encadeadas (Censo + Pnad) , utilize os atalhos a seguir:  
 IDHM Longevidade  | 
 IDHM Educação  | 
 IDHM Renda  | 
 IDHM .
  Ipeadata - Página principal .",Referencia historica de 2010; nao e um indicador de 2022.,645
9,pobreza_desigualdade,pobreza_desigualdade_gini_2010,2010,Índice de Gini (Atlas DH - Censo),-,,Ipeadata / Atlas do Desenvolvimento Humano (Censo Demográfico),ADH_GINI,https://www.ipeadata.gov.br/api/odata4/Metadados('ADH_GINI')/Valores,"Mede o grau de desigualdade existente na distribuição de indivíduos segundo a renda domiciliar per capita. Seu valor é 0 quando não há desigualdade (a renda domiciliar per capita de todos os indivíduos tem o mesmo valor) e tende a 1 à medida que a desigualdade aumenta. O universo de indivíduos é limitado àqueles que vivem em domicílios particulares permanentes. Este indicador faz parte do bloco de indicadores que contém nível de renda; de pobreza e de desigualdade de renda. São indicadores utilizados na análise do IDHM (Índice de Desenvolvimento Humano Municipal). Nota: elaborado por PNUD, IPEA e FJP a partir dos microdados de Censos Demográficos do IBGE. Mais Informações:  Metodologia do Atlas do Desenvolvimento Humano .
 Fonte primária aguarda microdados do Censo 2022.  Para acessar outras desagregações, utilize os atalhos a seguir: 
 Brasil  | 
 por Região  | 
 por UF .  
 por Gênero > 
 Homens   |    
 Mulheres 
 por Cor/Raça > 
 Brancos   |    
 Pretos/Pardos 
 por tipo domicilio > 
 Rural   |    
 Urbano 
 
 Para acessar dados atualizados da série pela Pnad Contínua, utilize o link a seguir:  
 Gini (Pnad Contínua) . 
  Ipeadata - Página principal .",Referencia historica de 2010; nao e um indicador de 2022.,645
10,pobreza_desigualdade,pobreza_desigualdade_pind_2010,2010,Proporção de pessoas extremamente pobres (Atlas DH - Censo),(%),,Ipeadata / Atlas do Desenvolvimento Humano (Censo Demográfico),ADH_PIND,https://www.ipeadata.gov.br/api/odata4/Metadados('ADH_PIND')/Valores,"Proporção dos indivíduos com renda domiciliar per capita igual ou inferior a R$ 70,00 mensais, em reais de agosto de 2010. O universo de indivíduos é limitado àqueles que vivem em domicílios particulares permanentes. Este indicador faz parte do bloco de indicadores que contém nível de renda; de pobreza e de desigualdade de renda. São indicadores utilizados na análise do IDHM (Índice de Desenvolvimento Humano Municipal). Nota: elaborado por PNUD, IPEA e FJP a partir dos microdados de Censos Demográficos do IBGE. Mais Informações:  Metodologia do Atlas do Desenvolvimento Humano  Fonte primária aguarda microdados do Censo 2022.  Para acessar outras desagregações, utilize os atalhos a seguir: 
 Brasil  |  por Região  |  por UF .  
         por Gênero > 
         Homens   |    
         Mulheres 
         por Cor/Raça > 
         Brancos   |    
         Pretos/Pardos 
         por tipo domicilio > 
         Rural   |    
         Urbano 
          Ipeadata - Página principal .",Referencia historica de 2010; nao e um indicador de 2022.,645
11,pobreza_desigualdade,pobreza_desigualdade_pmpob_2010,2010,Proporção de pessoas pobres (Atlas DH - Censo),(%),,Ipeadata / Atlas do Desenvolvimento Humano (Censo Demográfico),ADH_PMPOB,https://www.ipeadata.gov.br/api/odata4/Metadados('ADH_PMPOB')/Valores,"Proporção dos indivíduos com renda domiciliar per capita igual ou inferior a R$ 140,00 mensais, em reais de agosto de 2010. O universo de indivíduos é limitado àqueles que vivem em domicílios particulares permanentes. Este indicador faz parte do bloco de indicadores que contém nível de renda; de pobreza e de desigualdade de renda. São indicadores utilizados na análise do IDHM (Índice de Desenvolvimento Humano Municipal). Nota: elaborado por PNUD, IPEA e FJP a partir dos microdados de Censos Demográficos do IBGE. Mais Informações:  Metodologia do Atlas do Desenvolvimento Humano  Fonte primária aguarda microdados do Censo 2022.  Para acessar outras desagregações, utilize os atalhos a seguir: 
 Brasil  |  por Região  |  por UF .  
         por Gênero > 
         Homens   |    
         Mulheres 
         por Cor/Raça > 
         Brancos   |    
         Pretos/Pardos 
         por tipo domicilio > 
         Rural   |    
         Urbano 
          Ipeadata - Página principal .",Referencia historica de 2010; nao e um indicador de 2022.,645
12,pobreza_desigualdade,pobreza_desigualdade_ppob_2010,2010,Proporção de vulneráveis à pobreza (Atlas DH - Censo),(%),,Ipeadata / Atlas do Desenvolvimento Humano (Censo Demográfico),ADH_PPOB,https://www.ipeadata.gov.br/api/odata4/Metadados('ADH_PPOB')/Valores,"Proporção dos indivíduos com renda domiciliar per capita igual ou inferior a R$ 255,00 mensais, em reais de agosto de 2010, equivalente a 1/2 salário mínimo nessa data. O universo de indivíduos é limitado àqueles que vivem em domicílios particulares permanentes. Este indicador faz parte do bloco de indicadores que contém nível de renda; de pobreza e de desigualdade de renda. São indicadores utilizados na análise do IDHM (Índice de Desenvolvimento Humano Municipal). Nota: elaborado por PNUD, IPEA e FJP a partir dos microdados de Censos Demográficos do IBGE. Mais Informações:  Metodologia do Atlas do Desenvolvimento Humano  Fonte primária aguarda microdados do Censo 2022.  Para acessar outras desagregações, utilize os atalhos a seguir: 
 Brasil  |  por Região  |  por UF .  
         por Gênero > 
         Homens   |    
         Mulheres 
         por Cor/Raça > 
         Brancos   |    
         Pretos/Pardos 
         por tipo domicilio > 
         Rural   |    
         Urbano 
          Ipeadata - Página principal .",Referencia historica de 2010; nao e um indicador de 2022.,645
13,pobreza_desigualdade,pobreza_desigualdade_pren10ricos_2010,2010,Renda total apropriada pelos 10% da população com maior renda domiciliar per capita (Atlas DH - Censo),(%),,Ipeadata / Atlas do Desenvolvimento Humano (Censo Demográfico),ADH_PREN10RICOS,https://www.ipeadata.gov.br/api/odata4/Metadados('ADH_PREN10RICOS')/Valores,"Percentual da renda total apropriada pelos indivíduos pertencentes ao décimo mais rico da distribuição dos indivíduos segundo a renda domiciliar per capita. O universo de indivíduos é limitado àqueles que vivem em domicílios particulares permanentes. Este indicador faz parte do bloco de indicadores que contém nível de renda; de pobreza e de desigualdade de renda. São indicadores utilizados na análise do IDHM (Índice de Desenvolvimento Humano Municipal). Nota: elaborado por PNUD, IPEA e FJP a partir dos microdados de Censos Demográficos do IBGE. Mais Informações:  Metodologia do Atlas do Desenvolvimento Humano  Fonte primária aguarda microdados do Censo 2022.  Para acessar outras desagregações, utilize os atalhos a seguir: 
 Brasil  |  por Região  |  por UF .  
         por Gênero > 
         Homens   |    
         Mulheres 
         por Cor/Raça > 
         Brancos   |    
         Pretos/Pardos 
         por tipo domicilio > 
         Rural   |    
         Urbano 
          Ipeadata - Página principal .",Referencia historica de 2010; nao e um indicador de 2022.,645
14,pobreza_desigualdade,pobreza_desigualdade_pren40_2010,2010,Renda total apropriada pelos 40% da população com menor renda domiciliar per capita (Atlas DH - Censo),(%),,Ipeadata / Atlas do Desenvolvimento Humano (Censo Demográfico),ADH_PREN40,https://www.ipeadata.gov.br/api/odata4/Metadados('ADH_PREN40')/Valores,"Percentual da renda total apropriada pelos indivíduos pertencentes aos dois quintos mais pobres da distribuição dos indivíduos segundo a renda domiciliar per capita. O universo de indivíduos é limitado àqueles que vivem em domicílios particulares permanentes. Este indicador faz parte do bloco de indicadores que contém nível de renda; de pobreza e de desigualdade de renda. São indicadores utilizados na análise do IDHM (Índice de Desenvolvimento Humano Municipal). Nota: elaborado por PNUD, IPEA e FJP a partir dos microdados de Censos Demográficos do IBGE. Mais Informações:  Metodologia do Atlas do Desenvolvimento Humano  Fonte primária aguarda microdados do Censo 2022.  Para acessar outras desagregações, utilize os atalhos a seguir: 
 Brasil  |  por Região  |  por UF .  
         por Gênero > 
         Homens   |    
         Mulheres 
         por Cor/Raça > 
         Brancos   |    
         Pretos/Pardos 
         por tipo domicilio > 
         Rural   |    
         Urbano 
          Ipeadata - Página principal .",Referencia historica de 2010; nao e um indicador de 2022.,645
15,pobreza_desigualdade,pobreza_desigualdade_r1040_2010,2010,Razão 10% mais ricos / 40% mais pobres (Atlas DH - Censo),-,,Ipeadata / Atlas do Desenvolvimento Humano (Censo Demográfico),ADH_R1040,https://www.ipeadata.gov.br/api/odata4/Metadados('ADH_R1040')/Valores,"Medida do grau de desigualdade existente na distribuição de indivíduos segundo a renda domiciliar per capita. Compara a renda per capita média dos indivíduos pertencentes ao décimo mais rico dessa distribuição com a renda capita média dos indivíduos pertencentes aos dois quintos mais pobres. O universo de indivíduos é limitado àqueles que vivem em domicílios particulares permanentes. Este indicador faz parte do bloco de indicadores que contém nível de renda; de pobreza e de desigualdade de renda. São indicadores utilizados na análise do IDHM (Índice de Desenvolvimento Humano Municipal). Nota: elaborado por PNUD, IPEA e FJP a partir dos microdados de Censos Demográficos do IBGE. Mais Informações:  Metodologia do Atlas do Desenvolvimento Humano .
 Fonte primária aguarda microdados do Censo 2022.  Para acessar outras desagregações, utilize os atalhos a seguir: 
 Brasil  | 
 por Região  | 
 por UF .  
 por Gênero > 
 Homens   |    
 Mulheres 
 por Cor/Raça > 
 Brancos   |    
 Pretos/Pardos 
 por tipo domicilio > 
 Rural   |    
 Urbano 
  Ipeadata - Página principal .",Referencia historica de 2010; nao e um indicador de 2022.,645
16,pobreza_desigualdade,pobreza_desigualdade_rdpc_2010,2010,Renda per capita média (Atlas DH - Censo),"R$, a preços do ano 2010",,Ipeadata / Atlas do Desenvolvimento Humano (Censo Demográfico),ADH_RDPC,https://www.ipeadata.gov.br/api/odata4/Metadados('ADH_RDPC')/Valores,"Razão entre o somatório da renda de todos os indivíduos residentes em domicílios particulares permanentes e o número total desses indivíduos. Valores em reais de 01/agosto de 2010. Este indicador faz parte do bloco de indicadores que contém nível de renda; de pobreza e de desigualdade de renda. São indicadores utilizados na análise do IDHM (Índice de Desenvolvimento Humano Municipal). Nota: elaborado por PNUD, IPEA e FJP a partir dos microdados de Censos Demográficos do IBGE. Mais Informações:  Metodologia do Atlas do Desenvolvimento Humano .
 Fonte primária aguarda microdados do Censo 2022.  Para acessar outras desagregações, utilize os atalhos a seguir: 
 Brasil  | 
 por Região  | 
 por UF .  
 por Gênero > 
 Homens   |    
 Mulheres 
 por Cor/Raça > 
 Brancos   |    
 Pretos/Pardos 
 por tipo domicilio > 
 Rural   |    
 Urbano 
  Ipeadata - Página principal .",Referencia historica de 2010; nao e um indicador de 2022.,645
17,pobreza_desigualdade,pobreza_desigualdade_rdpc1_2010,2010,Renda domiciliar per capita média do quinto mais pobre (Atlas DH - Censo),"R$, a preços do ano 2010",,Ipeadata / Atlas do Desenvolvimento Humano (Censo Demográfico),ADH_RDPC1,https://www.ipeadata.gov.br/api/odata4/Metadados('ADH_RDPC1')/Valores,"Média da renda domiciliar per capita dos indivíduos pertencentes ao quinto mais pobre da distribuição de indivíduos segundo a renda domiciliar per capita. Valores em reais de 01/08/2010. Este indicador faz parte do bloco de indicadores que contém nível de renda; de pobreza e de desigualdade de renda. São indicadores utilizados na análise do IDHM (Índice de Desenvolvimento Humano Municipal). Nota: elaborado por PNUD, IPEA e FJP a partir dos microdados de Censos Demográficos do IBGE. Mais Informações:  Metodologia do Atlas do Desenvolvimento Humano .
 Fonte primária aguarda microdados do Censo 2022.  Para acessar outras desagregações, utilize os atalhos a seguir: 
 Brasil  | 
 por Região  | 
 por UF .  
 por Gênero > 
 Homens   |    
 Mulheres 
 por Cor/Raça > 
 Brancos   |    
 Pretos/Pardos 
 por tipo domicilio > 
 Rural   |    
 Urbano 
  Ipeadata - Página principal .",Referencia historica de 2010; nao e um indicador de 2022.,645
