CD_MUN,idh_idhm_2010,idh_idhm_e_2010,idh_idhm_l_2010,idh_idhm_r_2010,pobreza_desigualdade_gini_2010,pobreza_desigualdade_pind_2010,pobreza_desigualdade_pmpob_2010,pobreza_desigualdade_ppob_2010,pobreza_desigualdade_pren10ricos_2010,pobreza_desigualdade_pren40_2010,pobreza_desigualdade_r1040_2010,pobreza_desigualdade_rdpc_2010,pobreza_desigualdade_rdpc1_2010,pobreza_desigualdade_rdpc10_2010,pobreza_desigualdade_rdpc2_2010,pobreza_desigualdade_rdpc3_2010,pobreza_desigualdade_rdpc4_2010,pobreza_desigualdade_rdpc5_2010,pobreza_desigualdade_theil_2010,desenvolvimento_humano_espvida_2010,desenvolvimento_humano_fectot_2010,desenvolvimento_humano_mort1_2010,desenvolvimento_humano_mort5_2010,desenvolvimento_humano_razdep_2010,desenvolvimento_humano_sobre40_2010,desenvolvimento_humano_sobre60_2010,economia_pib_mil_reais_2021,economia_pib_mil_reais_2022,economia_pib_mil_reais_2023,economia_pib_per_capita_reais_2021,economia_pib_per_capita_reais_2022,economia_pib_per_capita_reais_2023,economia_vab_total_mil_reais_2021,economia_vab_agropecuaria_mil_reais_2021,economia_vab_industria_mil_reais_2021,economia_vab_servicos_mil_reais_2021,economia_vab_administracao_mil_reais_2021,economia_impostos_mil_reais_2021,empresas_emprego_i143491_2024,empresas_emprego_i143493_2024,empresas_emprego_i143494_2024,empresas_emprego_i143495_2024,empresas_emprego_i143496_2024,empresas_emprego_i143497_2024,empresas_emprego_i143498_2024,empresas_emprego_i143499_2024,empresas_emprego_i143500_2024,empresas_emprego_i143501_2024,empresas_emprego_i143502_2024,empresas_emprego_i143503_2024,empresas_emprego_i143504_2024,empresas_emprego_i143505_2024,empresas_emprego_i143506_2024,empresas_emprego_i143507_2024,empresas_emprego_i143508_2024,empresas_emprego_i143509_2024,empresas_emprego_i143510_2024,empresas_emprego_i143511_2024,empresas_emprego_i143512_2024,empresas_emprego_i143513_2024,empresas_emprego_i143514_2024,empresas_emprego_i143516_2024,empresas_emprego_i143517_2024,empresas_emprego_i143518_2024,empresas_emprego_i143519_2024,empresas_emprego_i143520_2024,empresas_emprego_i143521_2024,empresas_emprego_i143522_2024,empresas_emprego_i143523_2024,empresas_emprego_i143524_2024,empresas_emprego_i143525_2024,empresas_emprego_i143526_2024,empresas_emprego_i143527_2024,empresas_emprego_i143528_2024,empresas_emprego_i143529_2024,empresas_emprego_i143530_2024,empresas_emprego_i143531_2024,empresas_emprego_i143532_2024,empresas_emprego_i143533_2024,empresas_emprego_i143534_2024,empresas_emprego_i143535_2024,empresas_emprego_i143536_2024,empresas_emprego_i143538_2024,empresas_emprego_i143539_2024,empresas_emprego_i143540_2024,empresas_emprego_i143541_2024,empresas_emprego_i143542_2024,empresas_emprego_i143543_2024,empresas_emprego_i143544_2024,empresas_emprego_i143545_2024,empresas_emprego_i143546_2024,empresas_emprego_i143547_2024,empresas_emprego_i143548_2024,empresas_emprego_i143549_2024,empresas_emprego_i143550_2024,empresas_emprego_i143551_2024,empresas_emprego_i143552_2024,empresas_emprego_i143553_2024,empresas_emprego_i143554_2024,empresas_emprego_i143555_2024,empresas_emprego_i143556_2024,empresas_emprego_i143557_2024,empresas_emprego_i143558_2024,empresas_emprego_i143580_2024,empresas_emprego_i143582_2024,empresas_emprego_i143583_2024,empresas_emprego_i143584_2024,empresas_emprego_i143585_2024,empresas_emprego_i143586_2024,empresas_emprego_i143587_2024,empresas_emprego_i143588_2024,empresas_emprego_i143589_2024,empresas_emprego_i143590_2024,empresas_emprego_i143591_2024,empresas_emprego_i143592_2024,empresas_emprego_i143593_2024,empresas_emprego_i143594_2024,empresas_emprego_i143595_2024,empresas_emprego_i143596_2024,empresas_emprego_i143597_2024,empresas_emprego_i143598_2024,empresas_emprego_i143599_2024,empresas_emprego_i143600_2024,empresas_emprego_i143601_2024,financas_publicas_i143223_2025,financas_publicas_i143224_2025,financas_publicas_i143225_2025,financas_publicas_i165603_2025,financas_publicas_i165604_2025,financas_publicas_i165605_2025,financas_publicas_i165606_2025,financas_publicas_i165607_2025,financas_publicas_i165608_2025,financas_publicas_i165609_2025,financas_publicas_i165610_2025,financas_publicas_i165611_2025,financas_publicas_i165612_2025,financas_publicas_i165613_2025,financas_publicas_i165614_2025,financas_publicas_i165615_2025,financas_publicas_i165616_2025,financas_publicas_i165617_2025,financas_publicas_i165618_2025,financas_publicas_i28135_2025,financas_publicas_i28136_2025,financas_publicas_i28141_2025,financas_publicas_i28142_2025,financas_publicas_i28144_2025,financas_publicas_i29748_2025,financas_publicas_i29749_2025,financas_publicas_i29750_2025,financas_publicas_i29751_2025,ideb_i78187_2025,ideb_i78188_2025,ideb_i78189_2025,ideb_i78190_2025,ideb_i78192_2025,ideb_i78193_2025,ideb_i78194_2025,ideb_i78195_2025,ideb_i78197_2025,ideb_i78198_2025,ideb_i78199_2025,ideb_i78200_2025
3500105,0.79,0.75,0.852,0.772,0.51,0.5,2.57,11.34,43.03,13.4,12.85,975.43,233.59,4197.1,419.87,577.77,854.6,2795.03,0.45,76.13,1.4,12.0,13.92,42.86,94.72,85.06,1370865.929,1542108.768,1705894.987,38997.12,44457.83,49179.66,1246346.757,54224.142,178323.41,785582.034,228217.171,124519.171,4112,14,1693,8.0,109.0,35.0,162,62.0,52.0,211.0,792,86.0,70.0,3.0,137.0,3.0,61.0,,153,294.0,167,,18101,1323,2274,47.0,393.0,71.0,817.0,340.0,140.0,585.0,3653,363.0,3695.0,16.0,2107.0,2.0,190.0,,312.0,1366.0,407,13746,1323,959.0,33.0,263.0,31.0,619.0,226.0,30.0,298.0,2691,216.0,3602.0,16.0,1932.0,,119.0,,180.0,1007.0,201.0,2.3,587888,67276,50508.0,3843.0,6316.0,741.0,21891.0,16492.0,817.0,10589.0,99019,8065.0,193474.0,671.0,62376.0,,3516.0,,3694.0,28471.0,10128,306270685.0,6733747.94,299536937.06,54320675.49,48406659.15,5914016.34,,3515006.84,15282956.83,4882.4,,85011822.48,173675700.58,2845904.65,,30022.88,,3393086.89,,11799800.35,307895209.61,338080059.04,3423109.77,334656949.27,310704404.53,319695009.96,6753106.34,303951298.19,7.0,7.0,,,5.7,,5.7,,5.0,,5.0,
3500204,0.73,0.648,0.844,0.71,0.38,1.31,3.43,13.36,30.76,17.77,6.92,661.65,209.11,2035.12,378.77,519.68,707.03,1497.34,0.27,75.62,1.81,13.8,15.98,42.22,94.76,84.2,115489.988,152744.965,215282.976,32578.28,35105.71,49478.96,110371.621,22826.148,17782.937,42622.327,27140.209,5118.367,540,7,361,1.0,5.0,3.0,20,3.0,5.0,7.0,58,8.0,2.0,1.0,5.0,3.0,1.0,,28,3.0,19,,1353,355,306,2.0,8.0,8.0,70.0,7.0,10.0,11.0,142,205.0,3.0,,79.0,44.0,2.0,,60.0,7.0,34,868,355,12.0,2.0,2.0,3.0,29.0,4.0,,1.0,82,196.0,,,75.0,40.0,,,51.0,2.0,14.0,1.7,26579,13417,375.0,139.0,58.0,171.0,794.0,270.0,,23.0,2228,3808.0,,,1801.0,1595.0,,,1024.0,15.0,860,44610646.87,1398244.71,43212402.16,5664387.19,4272990.59,1391396.6,,,1208713.13,,,85485.96,44907716.73,79325.47,,28200.0,,1903178.76,,2376536.62,43960327.23,53877007.24,1931378.76,51945628.48,44929368.98,46336863.85,1398244.71,43531124.27,6.0,6.0,,,5.3,5.3,,,3.7,,3.7,
3500303,0.715,0.606,0.858,0.703,0.47,1.03,6.89,23.68,39.07,14.48,10.79,636.07,158.11,2485.19,302.43,438.88,599.27,1680.57,0.39,76.49,2.14,12.5,14.5,43.68,95.22,85.44,1314737.257,1538788.797,1773842.732,35551.7,47979.2,55308.14,1070360.685,121795.919,358840.73,437984.526,151739.51,244376.572,2994,10,1730,12.0,42.0,23.0,98,25.0,26.0,75.0,484,47.0,46.0,2.0,96.0,25.0,31.0,,84,73.0,65,,9941,782,1325,52.0,185.0,56.0,1031.0,117.0,56.0,145.0,2064,149.0,219.0,6.0,2807.0,105.0,74.0,,73.0,223.0,472,7343,782,145.0,37.0,142.0,29.0,930.0,69.0,13.0,49.0,1501,95.0,164.0,6.0,2689.0,71.0,42.0,,34.0,147.0,398.0,2.2,300106,42533,4723.0,1946.0,3848.0,700.0,25940.0,6665.0,370.0,1523.0,52737,3069.0,6697.0,216.0,120146.0,3384.0,1113.0,,1015.0,4549.0,18933,159405592.94,6187374.18,153218218.76,29988754.73,27694685.02,2274237.26,19832.45,1349948.55,5160198.72,,,446069.57,156386600.37,663022.33,,155994.6,,2882576.0,,9362826.05,162009470.19,197033164.87,3038570.6,193994594.27,162129289.23,171372296.24,6702374.18,155426915.05,6.2,6.1,6.8,,5.0,5.6,4.8,,4.2,,4.2,
3500402,0.781,0.716,0.886,0.75,0.52,0.6,3.56,18.43,45.34,12.94,14.01,853.39,186.22,3869.03,365.96,513.01,732.83,2492.73,0.49,78.13,1.81,9.6,11.13,46.28,95.76,87.75,209003.992,237447.327,272358.712,25297.02,32222.46,36960.06,193848.586,25096.376,25550.804,106278.688,36922.718,15155.406,979,6,548,9.0,34.0,10.0,27,10.0,10.0,21.0,133,18.0,8.0,,33.0,4.0,16.0,,52,15.0,25,,1814,345,462,12.0,79.0,18.0,43.0,33.0,13.0,31.0,261,32.0,17.0,,288.0,,29.0,,39.0,83.0,29,956,345,27.0,11.0,45.0,5.0,19.0,21.0,,2.0,123,12.0,8.0,,236.0,,8.0,,14.0,70.0,10.0,2.3,40615,14144,557.0,1274.0,1089.0,181.0,885.0,1532.0,,60.0,3713,353.0,238.0,,13187.0,,263.0,,272.0,2376.0,488,55017130.7,1584858.73,53432271.97,9604026.67,8224666.54,1378212.77,1147.36,1671154.82,1450204.12,,,5417.59,45580229.3,2731393.15,,,,1444944.01,,1786287.09,56139117.85,62487369.66,1444944.01,61042425.65,56757735.76,57925404.94,1614807.09,55142928.67,6.8,6.8,,,5.5,,5.5,,4.9,,4.9,
3500501,0.745,0.675,0.846,0.725,0.43,0.07,2.38,16.44,35.15,15.69,8.96,730.13,207.45,2566.13,365.23,514.93,738.66,1841.46,0.32,75.76,1.52,12.5,14.5,44.06,94.51,84.54,585603.941,709589.578,801114.539,30971.23,39799.74,44680.12,539218.08,10298.965,41438.678,372529.721,114950.716,46385.86,1814,5,277,2.0,142.0,25.0,176,48.0,23.0,78.0,453,55.0,40.0,2.0,258.0,,20.0,,63,113.0,34,,7680,770,261,81.0,1906.0,169.0,494.0,183.0,54.0,162.0,1408,115.0,129.0,6.0,1258.0,,47.0,,128.0,384.0,125,5617,770,,79.0,1721.0,143.0,376.0,90.0,3.0,57.0,894,32.0,80.0,6.0,939.0,,20.0,,85.0,234.0,88.0,1.9,206706,41153,,5279.0,50506.0,6514.0,16820.0,8218.0,52.0,1160.0,27581,824.0,2031.0,350.0,29896.0,,1023.0,,2164.0,8421.0,4714,165998803.16,14327280.39,151671522.77,59955652.62,55055955.42,4897279.67,2417.53,1833402.18,3733399.34,,,20973956.16,91688222.66,2365952.84,,,,3562453.43,,16351196.16,154188515.42,184113039.23,3562453.43,180550585.8,166490552.29,170539711.58,14342755.47,152147796.82,6.9,6.8,7.5,,5.7,5.4,6.3,,4.9,,4.9,
3500550,0.757,0.695,0.84,0.744,0.48,1.44,4.79,19.35,37.79,13.15,11.5,818.15,183.19,3091.47,354.55,524.09,816.64,2207.13,0.41,75.41,2.28,13.0,15.08,48.27,94.31,84.03,217295.581,254816.779,375561.879,35378.64,35504.64,52328.53,204302.32,70378.677,9944.378,82958.154,41021.111,12993.261,1214,8,875,4.0,33.0,11.0,19,7.0,8.0,24.0,98,14.0,9.0,2.0,16.0,1.0,6.0,,41,13.0,25,,2230,430,738,6.0,186.0,13.0,97.0,17.0,9.0,46.0,326,50.0,9.0,13.0,132.0,33.0,4.0,,28.0,13.0,80,1283,430,167.0,3.0,150.0,3.0,73.0,12.0,,13.0,194,25.0,,11.0,112.0,33.0,,,5.0,4.0,48.0,2.2,51454,21952,6739.0,249.0,4413.0,64.0,1795.0,1650.0,,339.0,5816,632.0,,451.0,4301.0,1123.0,,,113.0,89.0,1730,76307507.78,5559504.53,70748003.25,26488415.82,26231135.22,256018.07,1262.53,1126872.22,1282330.89,,,,53035929.82,222040.0,,,,359715.16,,5831487.04,72663805.53,82515303.91,359715.16,82155588.75,77676128.84,78495292.57,5658057.04,72018071.8,6.4,6.4,,,5.1,,5.1,,4.3,,4.3,
3500600,0.854,0.825,0.89,0.849,0.54,0.24,0.8,8.43,44.98,11.42,15.75,1580.72,304.27,7110.0,598.42,899.44,1379.8,4652.07,0.52,78.37,1.32,9.3,10.79,52.77,95.88,88.06,147855.135,160664.986,185389.984,41208.23,57793.16,66687.04,138568.318,0.0,8858.841,98194.675,31514.802,9286.817,365,8,4,3.0,50.0,7.0,57,8.0,14.0,28.0,101,14.0,6.0,,9.0,,9.0,,28,15.0,4,,1741,363,3,5.0,233.0,39.0,83.0,24.0,26.0,37.0,414,27.0,371.0,,21.0,,15.0,,49.0,24.0,7,1353,363,,5.0,167.0,30.0,29.0,15.0,3.0,7.0,296,6.0,365.0,,11.0,,1.0,,43.0,8.0,4.0,2.3,55493,15037,,920.0,5130.0,804.0,827.0,2266.0,105.0,82.0,7730,64.0,20296.0,,151.0,,24.0,,1423.0,264.0,369,54195225.33,4777176.99,49418048.34,13899766.51,12998558.52,901207.99,,351938.94,2747586.53,,,1327764.43,39555282.37,356597.24,,281200.0,,3258725.61,,4946312.88,50927721.51,61778861.63,3539925.61,58238936.02,55838077.56,55874034.39,4920303.48,50917774.08,7.1,7.1,,,6.5,6.5,,,4.7,,4.7,
3500709,0.745,0.694,0.845,0.705,0.41,1.99,6.61,20.07,31.5,15.43,8.16,642.59,167.6,2023.94,328.31,497.25,699.73,1515.19,0.31,75.67,1.8,13.7,15.88,43.38,94.79,84.28,2638622.611,2685446.015,3415808.553,70209.74,71269.8,90653.09,2194289.65,85373.367,1120495.303,780808.117,207612.863,444332.962,2583,7,962,6.0,99.0,29.0,116,31.0,36.0,108.0,564,78.0,65.0,4.0,129.0,,33.0,,121,89.0,106,,15753,1563,1311,120.0,468.0,85.0,1062.0,112.0,80.0,339.0,2367,373.0,432.0,53.0,2240.0,,53.0,,166.0,431.0,4498,13076,1563,520.0,116.0,364.0,47.0,916.0,65.0,16.0,200.0,1721,275.0,348.0,50.0,2065.0,,12.0,,83.0,318.0,4397.0,2.4,461342,74228,35383.0,4430.0,8885.0,1036.0,28801.0,6795.0,537.0,5207.0,56285,8856.0,9805.0,2624.0,132116.0,,414.0,,2334.0,11345.0,72262,220963852.41,4511351.31,216452501.1,25506084.42,25056334.75,449749.67,,2512291.36,5189891.0,,,16138.76,235343170.92,1305253.08,,407369.89,,1416334.39,,5875403.45,229547257.61,271696533.82,1823704.28,269872829.54,229504653.27,235422661.06,5632447.49,223872205.78,6.5,6.5,,,4.9,,4.9,,4.0,,4.0,
3500758,0.712,0.658,0.805,0.682,0.44,1.75,7.61,25.89,35.66,15.67,9.1,556.36,152.68,1983.81,283.24,383.74,550.57,1420.9,0.33,73.27,2.19,17.5,20.3,49.56,93.41,80.68,129389.561,133707.111,160252.134,20765.46,21772.86,26095.45,121961.643,35450.074,11402.717,42753.369,32355.482,7427.919,596,3,389,,9.0,2.0,19,3.0,5.0,10.0,52,10.0,9.0,,27.0,5.0,6.0,,24,12.0,11,,1507,338,456,,42.0,4.0,72.0,4.0,12.0,12.0,183,38.0,13.0,,261.0,22.0,7.0,,5.0,11.0,27,913,338,109.0,,30.0,1.0,44.0,,,1.0,108,25.0,2.0,,220.0,17.0,1.0,,3.0,1.0,13.0,1.8,33196,13802,3220.0,,1038.0,25.0,1289.0,,,30.0,3658,450.0,98.0,,8293.0,607.0,69.0,,70.0,11.0,537,43196514.39,1992648.85,41203865.54,5770374.33,5279133.49,491240.84,,350342.69,574896.76,,,5805.15,42628089.19,10757.25,,,,1637855.73,,2174229.5,43079399.77,50978121.1,1637855.73,49340265.37,44108337.38,45253629.27,2022152.35,42086185.03,6.1,6.1,,,5.7,,5.7,,4.6,,4.6,
3500808,0.741,0.71,0.84,0.682,0.36,1.29,4.66,22.16,26.47,17.86,5.93,558.38,184.9,1478.1,313.65,478.2,620.7,1195.35,0.22,75.41,1.64,14.1,16.33,47.61,94.65,83.9,120354.905,129964.952,158136.921,28649.11,29238.46,35576.36,90501.981,9081.353,21154.99,35648.145,24617.494,29852.924,970,7,820,1.0,2.0,3.0,16,3.0,1.0,12.0,55,6.0,1.0,2.0,13.0,,2.0,,13,11.0,2,,2420,259,680,2.0,6.0,7.0,115.0,8.0,3.0,21.0,145,16.0,1.0,,1130.0,,6.0,,5.0,13.0,3,1595,259,,2.0,3.0,2.0,98.0,4.0,,4.0,86,10.0,,,1119.0,,3.0,,2.0,1.0,2.0,2.1,53104,10516,,188.0,90.0,34.0,1918.0,469.0,,383.0,2477,658.0,,,36040.0,,97.0,,54.0,40.0,139,34549284.12,1450087.75,33099196.37,5086733.41,4680765.24,332362.81,73605.36,,666391.7,,,,36492784.97,59305.58,,,,1060130.26,,1543772.97,35575660.65,43365345.92,1060130.26,42305215.66,34875575.96,37119433.62,1450087.75,33425488.21,5.9,,5.9,,5.4,,5.4,,4.6,,4.6,
