CD_MUN,V03000001,V03000002,V03000003,V03000004,V03000005,V03000006,V03000007,V03000008,V03000009,V03000010,V03000011,V03000012,V03000013,V03000014,V03000015,V03000016,V03000017,V03000018,V03000019,V03000020,V03000021,V03000022,V03000023,V03000024,V03000025,V03000026,V03000027,V03000028,V03000029,V03000030,V03000031,V03000032,V03000033,V03000034,V03000035,V03000036,V03000037,V03000038,V03000039,V03000040,V03000041,V03000042,V03000043,V03000044,V03000045,V03000046,V03000047,V03000048,V03000049,V03000050,V03000051,V03000052,V03000053,V03000054,V03000055,V03000056,V03000057,V03000058,V03000059,V03000060,V03000061,V03000062,V03000063,V03000064,V03000065,V03000066,V03000067,V03000068,V03000069,V03000070,V03000071,V03000072,V03000073,V03000074,V03000075,V03000076,V03000077,V03000078,V03000079,V03000080,V03000081,V03000082,V03000083,V03000084,V03000085,V03000086,V03000087,V03000088,V03000089,V03000090,V03000091,V03000092,V03000093,V03000094,V03000095,V03000096,V03000097,V03000098,V03000099,V03000100,V03000101,V03000102,V03000103,V03000104,V03000105,V03000106,V03000107,V03000108,V03000109,V03000110,V03000111,V03000112,V03000113,V03000114,V03000115,V03000116,V03000117,V03000118,V03000119,V03000120,V03000121,V03000122,V03000123,V03000124,V03000125,V03000126,V03000127,V03000128,V03000129,V03000130,V03000131,V03000132,V03000133,V03000134,V03000135,V03000136,V03000137,V03000138
3500105,0.11,0.03,0.13,99.85,0.02,100.0,85.07,83.21,1.86,14.78,9.83,4.95,99.87,17.0,4.0,21.0,15942.0,3.0,15966.0,13583.0,13286.0,297.0,2359.0,1569.0,790.0,15945.0,13583.0,34552.0,2.54,1.47,100.0,3.14,95.3,0.09,0.0,0.01,200.0,13583.0,426.0,12944.0,12.0,0.0,1.0,5.68,33.49,66.51,100.0,18.36,74.9,0.21,0.0,0.85,134.0,790.0,1569.0,2359.0,433.0,1767.0,5.0,0.0,20.0,2.54,2.49,2.8,2.2,2.68,2.0,0.0,3.11,2.47,2.86,2.75,2.12,2.61,2.47,0.02,1.47,21.15,33.36,24.35,14.75,4.77,1.63,100.0,3.14,95.27,0.09,0.0,0.01,65.83,4.63,2.55,26.95,0.05,0.0,0.21,3.97,22.82,37.91,35.1,53.31,46.69,3.0,200.0,2873.0,4532.0,3308.0,2004.0,648.0,221.0,13586.0,426.0,12944.0,12.0,0.0,1.0,8943.0,629.0,346.0,3661.0,7.0,0.0,28.0,539.0,3100.0,5150.0,4769.0,7243.0,6343.0,13165.0,418.0,13583.0,33413.0,1139.0,34552.0,2.54,2.72,2.54
3500204,0.0,0.04,0.04,99.96,0.0,100.0,66.83,65.17,1.66,33.13,9.68,23.45,99.96,0.0,1.0,1.0,2468.0,0.0,2469.0,1650.0,1609.0,41.0,818.0,239.0,579.0,2468.0,1650.0,4351.0,2.64,1.39,100.0,0.0,98.61,0.0,0.0,0.0,23.0,1650.0,0.0,1627.0,0.0,0.0,0.0,29.22,70.78,29.22,100.0,0.12,69.68,0.0,0.0,0.98,239.0,579.0,239.0,818.0,1.0,570.0,0.0,0.0,8.0,2.64,2.56,2.86,3.0,2.72,2.83,0.0,2.4,2.77,3.24,2.78,2.03,2.53,2.72,0.0,1.39,17.39,34.79,25.39,14.24,6.24,1.94,100.0,0.0,98.61,0.0,0.0,0.0,57.39,5.09,0.3,36.85,0.36,0.0,0.3,4.97,23.58,38.0,33.15,44.0,56.0,0.0,23.0,287.0,574.0,419.0,235.0,103.0,32.0,1650.0,0.0,1627.0,0.0,0.0,0.0,947.0,84.0,5.0,608.0,6.0,0.0,5.0,82.0,389.0,627.0,547.0,726.0,924.0,1529.0,121.0,1650.0,4005.0,346.0,4351.0,2.62,2.86,2.64
3500303,0.03,0.02,0.05,99.93,0.02,100.0,84.5,82.89,1.6,15.43,10.43,5.0,99.95,4.0,3.0,7.0,13576.0,3.0,13586.0,11480.0,11262.0,218.0,2096.0,1417.0,679.0,13579.0,11480.0,32008.0,2.79,0.1,100.0,1.08,98.62,0.17,0.0,0.03,12.0,11480.0,124.0,11322.0,19.0,0.0,3.0,0.29,32.4,67.6,100.0,1.53,96.76,0.05,0.05,1.34,6.0,679.0,1417.0,2096.0,32.0,2028.0,1.0,1.0,28.0,2.79,2.71,2.98,2.7,2.9,3.5,0.0,1.82,2.63,3.16,2.94,2.32,2.83,2.73,0.03,0.1,18.36,29.21,24.94,16.73,6.82,3.94,100.0,1.08,98.6,0.17,0.0,0.03,62.7,7.79,0.47,29.03,0.02,0.0,0.19,4.6,25.2,39.84,30.17,59.26,40.74,3.0,12.0,2108.0,3354.0,2864.0,1921.0,783.0,453.0,11483.0,124.0,11322.0,19.0,0.0,3.0,7200.0,894.0,54.0,3333.0,2.0,0.0,22.0,528.0,2894.0,4575.0,3464.0,6805.0,4678.0,10747.0,733.0,11480.0,29833.0,2175.0,32008.0,2.78,2.97,2.79
3500402,0.1,0.03,0.13,99.82,0.05,100.0,72.32,71.4,0.92,27.5,12.55,14.95,99.87,4.0,1.0,5.0,3906.0,2.0,3913.0,2830.0,2794.0,36.0,1076.0,491.0,585.0,3908.0,2830.0,7262.0,2.57,0.39,100.0,3.29,96.15,0.07,0.0,0.11,11.0,2830.0,93.0,2721.0,2.0,0.0,3.0,0.65,54.37,45.63,100.0,10.41,87.36,0.09,0.0,1.49,7.0,585.0,491.0,1076.0,112.0,940.0,1.0,0.0,16.0,2.57,2.51,2.77,2.0,2.72,0.0,0.0,2.0,2.52,3.11,2.76,2.17,2.67,2.41,0.07,0.39,21.72,33.51,23.09,13.98,5.08,2.61,100.0,3.28,96.08,0.07,0.0,0.11,71.26,5.16,0.39,23.2,0.0,0.0,0.04,2.3,18.5,36.79,42.37,59.43,40.57,2.0,11.0,615.0,949.0,654.0,396.0,144.0,74.0,2832.0,93.0,2721.0,2.0,0.0,3.0,2018.0,146.0,11.0,657.0,0.0,0.0,1.0,65.0,524.0,1042.0,1200.0,1683.0,1149.0,2486.0,344.0,2830.0,6357.0,905.0,7262.0,2.56,2.63,2.57
3500501,0.03,0.53,0.56,99.44,0.0,100.0,68.1,63.72,4.38,31.34,9.26,22.08,99.44,3.0,53.0,56.0,9928.0,0.0,9984.0,6799.0,6362.0,437.0,3129.0,925.0,2204.0,9928.0,6799.0,17806.0,2.62,1.28,100.0,11.31,87.4,0.01,0.0,0.0,87.0,6799.0,769.0,5942.0,1.0,0.0,0.0,1.41,70.44,29.56,100.0,41.39,56.28,0.0,0.0,0.93,44.0,2204.0,925.0,3129.0,1295.0,1761.0,0.0,0.0,29.0,2.62,2.55,2.85,2.32,2.81,2.0,1.0,3.3,2.74,3.05,2.77,2.16,2.64,2.6,0.0,1.28,20.44,32.74,24.17,14.38,5.5,2.77,100.0,11.31,87.4,0.01,0.0,0.0,74.2,4.22,0.37,21.14,0.04,0.03,0.4,3.79,20.71,40.49,34.61,49.07,50.93,0.0,87.0,1390.0,2226.0,1643.0,978.0,374.0,188.0,6799.0,769.0,5942.0,1.0,0.0,0.0,5045.0,287.0,25.0,1437.0,3.0,2.0,27.0,258.0,1408.0,2753.0,2353.0,3336.0,3463.0,5968.0,831.0,6799.0,15524.0,2282.0,17806.0,2.6,2.75,2.62
3500550,0.05,0.37,0.42,99.39,0.19,100.0,63.3,60.34,2.97,36.09,14.34,21.75,99.58,2.0,16.0,18.0,4255.0,8.0,4281.0,2710.0,2583.0,127.0,1545.0,614.0,931.0,4263.0,2710.0,7162.0,2.64,2.36,100.0,0.66,96.79,0.0,0.0,0.18,64.0,2710.0,18.0,2623.0,0.0,0.0,5.0,7.77,60.26,39.74,100.0,1.17,89.26,0.0,0.0,1.81,120.0,931.0,614.0,1545.0,18.0,1379.0,0.0,0.0,28.0,2.64,2.56,2.93,2.28,2.76,2.67,0.0,3.67,2.65,3.19,2.75,2.16,2.54,2.76,0.29,2.35,19.21,35.03,22.19,14.39,6.0,3.2,100.0,0.66,96.5,0.0,0.0,0.18,62.51,6.11,1.07,30.21,0.11,0.0,0.11,3.64,21.93,39.44,34.88,55.11,44.89,8.0,64.0,522.0,952.0,603.0,391.0,163.0,87.0,2718.0,18.0,2623.0,0.0,0.0,5.0,1699.0,166.0,29.0,821.0,3.0,0.0,3.0,99.0,596.0,1072.0,948.0,1498.0,1220.0,2395.0,315.0,2710.0,6302.0,860.0,7162.0,2.63,2.73,2.64
3500600,0.05,1.1,1.15,98.85,0.0,100.0,57.79,53.33,4.46,41.05,10.88,30.18,98.85,1.0,22.0,23.0,1972.0,0.0,1995.0,1153.0,1064.0,89.0,819.0,217.0,602.0,1972.0,1153.0,2779.0,2.41,0.35,100.0,18.21,81.35,0.09,0.0,0.0,4.0,1153.0,210.0,938.0,1.0,0.0,0.0,0.85,73.5,26.5,100.0,32.48,66.3,0.12,0.0,0.24,7.0,602.0,217.0,819.0,266.0,543.0,1.0,0.0,2.0,2.41,2.38,2.6,2.31,2.54,3.0,0.0,2.0,2.02,2.68,2.77,2.12,2.54,2.25,0.0,0.35,23.59,37.99,22.38,10.15,3.38,2.52,100.0,18.21,81.35,0.09,0.0,0.0,80.05,3.73,2.25,13.88,0.09,0.0,0.09,4.6,15.26,32.26,47.79,55.85,44.15,0.0,4.0,272.0,438.0,258.0,117.0,39.0,29.0,1153.0,210.0,938.0,1.0,0.0,0.0,923.0,43.0,26.0,160.0,1.0,0.0,1.0,53.0,176.0,372.0,551.0,644.0,509.0,1153.0,0.0,1153.0,2779.0,0.0,2779.0,2.41,0.0,2.41
3500709,0.07,0.05,0.12,99.7,0.18,100.0,83.74,82.21,1.53,15.96,10.6,5.35,99.88,11.0,8.0,19.0,15401.0,28.0,15448.0,12936.0,12700.0,236.0,2465.0,1638.0,827.0,15429.0,12936.0,37410.0,2.89,0.24,100.0,0.86,98.85,0.02,0.0,0.03,31.0,12936.0,111.0,12787.0,3.0,0.0,4.0,0.37,33.55,66.45,100.0,1.74,96.71,0.08,0.0,1.1,9.0,827.0,1638.0,2465.0,43.0,2384.0,2.0,0.0,27.0,2.89,2.78,3.02,2.91,3.04,3.45,1.0,3.9,2.91,3.25,3.01,2.36,2.92,2.86,0.22,0.24,15.33,28.94,25.52,18.68,7.24,4.28,100.0,0.86,98.63,0.02,0.0,0.03,58.05,7.91,0.54,33.32,0.17,0.02,0.75,4.18,25.73,40.85,28.49,57.47,42.53,28.0,31.0,1988.0,3752.0,3309.0,2422.0,938.0,555.0,12964.0,111.0,12787.0,3.0,0.0,4.0,7525.0,1025.0,70.0,4320.0,22.0,2.0,97.0,542.0,3335.0,5296.0,3694.0,7451.0,5513.0,12417.0,519.0,12936.0,35909.0,1501.0,37410.0,2.89,2.89,2.89
3500758,0.06,0.03,0.1,99.9,0.0,100.0,68.12,67.32,0.8,31.78,12.1,19.68,99.9,2.0,1.0,3.0,3137.0,0.0,3140.0,2139.0,2114.0,25.0,998.0,380.0,618.0,3137.0,2139.0,6131.0,2.87,9.16,100.0,0.05,90.79,0.0,0.0,0.0,196.0,2139.0,1.0,1942.0,0.0,0.0,0.0,12.93,61.92,38.08,100.0,0.0,86.27,0.1,0.0,0.7,129.0,618.0,380.0,998.0,0.0,861.0,1.0,0.0,7.0,2.87,2.8,3.28,2.6,2.96,2.5,0.0,3.17,2.84,3.24,3.02,2.35,2.9,2.79,0.0,9.16,14.4,29.45,27.72,17.95,6.69,3.79,100.0,0.05,90.79,0.0,0.0,0.0,66.71,4.44,0.23,28.52,0.09,0.0,0.56,4.11,26.55,37.82,30.95,66.01,33.99,0.0,196.0,308.0,630.0,593.0,384.0,143.0,81.0,2139.0,1.0,1942.0,0.0,0.0,0.0,1427.0,95.0,5.0,610.0,2.0,0.0,12.0,88.0,568.0,809.0,662.0,1412.0,727.0,1573.0,566.0,2139.0,4556.0,1575.0,6131.0,2.9,2.78,2.87
3500808,0.04,0.0,0.04,99.96,0.0,100.0,72.61,70.68,1.94,27.35,16.07,11.27,99.96,1.0,0.0,1.0,2376.0,0.0,2377.0,1726.0,1680.0,46.0,650.0,382.0,268.0,2376.0,1726.0,4432.0,2.57,0.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,1726.0,0.0,1726.0,0.0,0.0,0.0,0.0,41.23,58.77,100.0,0.0,96.15,0.0,0.0,3.85,0.0,268.0,382.0,650.0,0.0,625.0,0.0,0.0,25.0,2.57,2.5,2.72,3.27,2.62,1.0,0.0,2.67,2.83,3.19,2.76,2.02,2.58,2.56,0.0,0.0,19.7,34.65,23.87,15.06,5.04,1.68,100.0,0.0,100.0,0.0,0.0,0.0,56.32,6.72,1.27,35.57,0.12,0.0,0.17,4.0,19.87,38.3,37.66,51.97,48.03,0.0,0.0,340.0,598.0,412.0,260.0,87.0,29.0,1726.0,0.0,1726.0,0.0,0.0,0.0,972.0,116.0,22.0,614.0,2.0,0.0,3.0,69.0,343.0,661.0,650.0,897.0,829.0,1462.0,264.0,1726.0,3741.0,691.0,4432.0,2.56,2.62,2.57
