CD_MUN,V15000001,V15000002,V15000003,V15000004,V15000005,V15000006,V15000007,V15000008,V15000009,V15000010,V15000011,V15000012,V15000013,V15000014,V15000015,V15000016,V15000017,V15000018,V15000019,V15000020,V15000021,V15000022,V15000023,V15000024,V15000025,V15000026,V15000027,V15000028,V15000029,V15000030,V15000031,V15000032,V15000033,V15000034,V15000035,V15000036,V15000037,V15000038,V15000039,V15000040,V15000041,V15000042,V15000043,V15000044,V15000045,V15000046,V15000047,V15000048,V15000049,V15000050,V15000051,V15000052,V15000053,V15000054,V15000055,V15000056,V15000057,V15000058,V15000059,V15000060,V15000061,V15000062,V15000063,V15000064,V15000065,V15000066,V15000067,V15000068,V15000069,V15000070,V15000071,V15000072,V15000073,V15000074,V15000075,V15000076,V15000077,V15000078,V15000079,V15000080,V15000081,V15000082,V15000083,V15000084,V15000085,V15000086,V15000087,V15000088,V15000089,V15000090,V15000091,V15000092,V15000093,V15000094,V15000095,V15000096,V15000097,V15000098,V15000099,V15000100,V15000101,V15000102,V15000103,V15000104,V15000105,V15000106,V15000107,V15000108,V15000109,V15000110,V15000111,V15000112,V15000113,V15000114,V15000115,V15000116,V15000117,V15000118,V15000119,V15000120,V15000121,V15000122,V15000123,V15000124,V15000125,V15000126,V15000127,V15000128,V15000129,V15000130,V15000131,V15000132,V15000133,V15000134,V15000135,V15000136,V15000137,V15000138,V15000139,V15000140,V15000141,V15000142,V15000143,V15000144,V15000145,V15000146,V15000147,V15000148,V15000149,V15000150,V15000151,V15000152,V15000153,V15000154,V15000155,V15000156,V15000157,V15000158,V15000159,V15000160,V15000161
3500105,0.0,1.53,4.83,3.4,0.16,69.33,0.0,3.32,17.43,47.82,52.18,5.66,6.14,7.02,7.18,4.39,16.71,15.93,15.71,13.24,8.01,100.0,0.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,47.82,52.18,5.66,6.14,7.02,7.18,4.39,16.71,15.93,15.71,13.24,8.01,100.0,0.0,476.0,1506.0,1059.0,51.0,21621.0,0.0,1036.0,5436.0,14913.0,16272.0,1766.0,1916.0,2188.0,2240.0,1369.0,5212.0,4968.0,4900.0,4128.0,2498.0,31185.0,0.0,1.59,5.03,3.28,0.17,69.4,0.0,3.35,17.16,6.51,7.44,7.61,4.65,17.72,16.89,16.66,14.03,8.49,96.92,3.08,100.0,0.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,6.51,7.44,7.61,4.65,17.72,16.89,16.66,14.03,8.49,96.92,3.08,100.0,0.0,469.0,1481.0,965.0,51.0,20418.0,0.0,986.0,5049.0,1916.0,2188.0,2240.0,1369.0,5212.0,4968.0,4900.0,4128.0,2498.0,28513.0,906.0,29419.0,0.0,1.7,5.1,3.31,0.2,69.97,0.0,3.29,16.43,47.09,52.91,100.0,29.08,13.45,34.53,22.94,0.0,431.0,1291.0,837.0,51.0,17713.0,0.0,834.0,4158.0,11922.0,13393.0,25315.0,7361.0,3405.0,8741.0,5808.0
3500204,0.0,1.2,0.1,3.54,0.1,55.24,0.0,3.54,36.28,48.48,51.52,6.5,7.1,6.65,7.54,2.96,16.29,14.35,16.71,13.7,8.2,100.0,0.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,48.48,51.52,6.5,7.1,6.65,7.54,2.96,16.29,14.35,16.71,13.7,8.2,100.0,0.0,46.0,4.0,135.0,4.0,2109.0,0.0,135.0,1385.0,1851.0,1967.0,248.0,271.0,254.0,288.0,113.0,622.0,548.0,638.0,523.0,313.0,3818.0,0.0,1.29,0.11,3.75,0.11,56.16,0.0,3.47,35.1,7.59,7.11,8.07,3.17,17.42,15.35,17.87,14.65,8.77,92.41,7.59,100.0,0.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,7.59,7.11,8.07,3.17,17.42,15.35,17.87,14.65,8.77,92.41,7.59,100.0,0.0,46.0,4.0,134.0,4.0,2005.0,0.0,124.0,1253.0,271.0,254.0,288.0,113.0,622.0,548.0,638.0,523.0,313.0,3299.0,271.0,3570.0,0.0,1.41,0.0,3.22,0.13,58.1,0.0,3.32,33.83,47.59,52.41,100.0,48.97,12.87,27.88,10.28,0.0,43.0,0.0,98.0,4.0,1769.0,0.0,101.0,1030.0,1449.0,1596.0,3045.0,1491.0,392.0,849.0,313.0
3500303,0.07,1.49,0.73,5.56,0.03,62.76,0.04,3.51,25.82,49.23,50.77,7.57,7.77,8.42,8.6,2.55,17.32,16.39,14.0,11.34,6.04,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,49.23,50.77,7.57,7.77,8.42,8.6,2.55,17.32,16.39,14.0,11.34,6.04,100.0,19.0,418.0,204.0,1558.0,8.0,17599.0,11.0,983.0,7240.0,13804.0,14237.0,2124.0,2180.0,2360.0,2411.0,715.0,4857.0,4595.0,3925.0,3181.0,1693.0,28041.0,0.07,1.54,0.74,5.39,0.03,63.46,0.04,3.57,25.15,8.41,9.11,9.3,2.76,18.74,17.73,15.14,12.27,6.53,95.49,4.51,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,8.41,9.11,9.3,2.76,18.74,17.73,15.14,12.27,6.53,95.49,4.51,100.0,19.0,400.0,191.0,1396.0,8.0,16448.0,11.0,925.0,6518.0,2180.0,2360.0,2411.0,715.0,4857.0,4595.0,3925.0,3181.0,1693.0,24748.0,1169.0,25917.0,0.09,1.77,0.73,4.38,0.04,65.0,0.05,3.52,24.41,48.68,51.32,100.0,40.79,18.43,27.53,13.25,19.0,378.0,156.0,936.0,8.0,13895.0,11.0,753.0,5219.0,10407.0,10970.0,21377.0,8720.0,3940.0,5885.0,2832.0
3500402,0.0,4.79,0.15,6.56,0.0,65.69,0.0,2.67,20.15,47.42,52.59,5.64,5.44,5.73,5.09,7.9,14.13,15.47,15.27,15.7,9.65,100.0,0.0,100.0,100.0,100.0,0.0,100.0,0.0,100.0,100.0,47.42,52.58,5.63,5.43,5.73,5.09,7.9,14.14,15.46,15.27,15.7,9.65,100.0,0.0,315.0,10.0,432.0,0.0,4323.0,0.0,176.0,1326.0,3121.0,3461.0,371.0,358.0,377.0,335.0,520.0,930.0,1018.0,1005.0,1033.0,635.0,6581.0,0.0,4.89,0.16,6.54,0.0,66.41,0.0,2.66,19.32,5.76,6.07,5.39,8.37,14.97,16.39,16.18,16.63,10.22,96.49,3.51,100.0,0.0,100.0,100.0,100.0,0.0,100.0,0.0,100.0,100.0,5.76,6.07,5.39,8.37,14.98,16.39,16.18,16.63,10.23,96.49,3.51,100.0,0.0,304.0,10.0,406.0,0.0,4125.0,0.0,165.0,1200.0,358.0,377.0,335.0,520.0,930.0,1018.0,1005.0,1033.0,635.0,5993.0,218.0,6211.0,0.0,4.8,0.09,6.19,0.0,67.49,0.0,2.54,18.86,46.55,53.45,100.0,39.06,12.8,31.68,16.44,0.0,263.0,5.0,339.0,0.0,3696.0,0.0,139.0,1033.0,2549.0,2927.0,5476.0,2139.0,701.0,1735.0,900.0
3500501,0.0,2.16,0.62,7.36,0.26,64.1,0.04,3.26,22.2,48.32,51.68,6.33,6.46,6.65,7.01,4.03,15.5,17.0,15.78,13.24,8.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,48.32,51.68,6.33,6.46,6.65,7.01,4.03,15.5,17.0,15.78,13.24,8.0,100.0,0.0,349.0,101.0,1191.0,42.0,10374.0,7.0,527.0,3593.0,7820.0,8364.0,1025.0,1045.0,1076.0,1135.0,653.0,2508.0,2752.0,2554.0,2142.0,1294.0,16184.0,0.0,2.14,0.61,7.49,0.28,64.66,0.05,3.12,21.64,6.89,7.1,7.49,4.31,16.54,18.15,16.85,14.13,8.54,95.78,4.22,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,6.89,7.1,7.49,4.31,16.54,18.15,16.85,14.13,8.54,95.78,4.22,100.0,0.0,325.0,93.0,1136.0,42.0,9802.0,7.0,473.0,3281.0,1045.0,1076.0,1135.0,653.0,2508.0,2752.0,2554.0,2142.0,1294.0,14519.0,640.0,15159.0,0.0,2.35,0.67,6.46,0.32,66.13,0.05,3.27,20.75,47.42,52.58,100.0,36.62,14.86,31.87,16.65,0.0,307.0,88.0,842.0,42.0,8622.0,7.0,426.0,2705.0,6183.0,6855.0,13038.0,4774.0,1938.0,4155.0,2171.0
3500550,0.0,2.89,0.84,7.74,0.0,60.58,0.05,4.1,23.79,49.43,50.57,7.84,7.63,6.67,6.81,3.53,14.81,15.9,15.14,13.72,7.93,100.0,0.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,49.43,50.57,7.84,7.63,6.67,6.81,3.53,14.81,15.9,15.14,13.72,7.93,100.0,0.0,183.0,53.0,491.0,0.0,3841.0,3.0,260.0,1508.0,3134.0,3206.0,497.0,484.0,423.0,432.0,224.0,939.0,1008.0,960.0,870.0,503.0,6340.0,0.0,3.1,0.72,7.55,0.0,60.96,0.05,4.14,23.5,8.28,7.24,7.39,3.83,16.07,17.25,16.43,14.89,8.61,95.82,4.18,100.0,0.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,8.28,7.24,7.39,3.83,16.07,17.25,16.43,14.89,8.61,95.82,4.18,100.0,0.0,181.0,42.0,441.0,0.0,3562.0,3.0,242.0,1373.0,484.0,423.0,432.0,224.0,939.0,1008.0,960.0,870.0,503.0,5599.0,244.0,5843.0,0.0,3.22,0.67,6.44,0.0,61.28,0.06,4.58,23.74,48.82,51.18,100.0,32.15,14.16,32.19,21.5,0.0,159.0,33.0,318.0,0.0,3025.0,3.0,226.0,1172.0,2410.0,2526.0,4936.0,1587.0,699.0,1589.0,1061.0
3500600,0.0,5.58,2.46,12.1,0.0,52.01,0.0,10.81,17.05,46.47,53.53,5.81,5.15,6.2,5.35,7.41,12.33,14.32,14.01,18.1,11.31,100.0,0.0,100.0,100.0,100.0,0.0,100.0,0.0,100.0,100.0,46.47,53.53,5.81,5.15,6.2,5.35,7.41,12.33,14.32,14.01,18.1,11.31,100.0,0.0,143.0,63.0,310.0,0.0,1333.0,0.0,277.0,437.0,1191.0,1372.0,149.0,132.0,159.0,137.0,190.0,316.0,367.0,359.0,464.0,290.0,2563.0,0.0,5.76,2.03,11.64,0.0,52.57,0.0,10.77,17.23,5.47,6.59,5.68,7.87,13.09,15.2,14.87,19.22,12.01,98.8,1.2,100.0,0.0,100.0,100.0,100.0,0.0,100.0,0.0,100.0,100.0,5.47,6.59,5.68,7.87,13.09,15.2,14.87,19.22,12.01,98.8,1.2,100.0,0.0,139.0,49.0,281.0,0.0,1269.0,0.0,260.0,416.0,132.0,159.0,137.0,190.0,316.0,367.0,359.0,464.0,290.0,2385.0,29.0,2414.0,0.0,5.61,2.12,10.41,0.0,54.83,0.0,11.4,15.69,44.47,55.53,100.0,20.3,8.81,28.17,42.72,0.0,119.0,45.0,221.0,0.0,1164.0,0.0,242.0,333.0,944.0,1179.0,2123.0,431.0,187.0,598.0,907.0
3500709,0.04,1.26,0.52,8.48,0.34,42.14,0.0,5.42,41.8,48.97,51.03,7.79,7.3,7.96,8.35,2.75,17.73,17.48,13.79,10.99,5.86,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,48.97,51.03,7.79,7.3,7.96,8.35,2.75,17.73,17.48,13.79,10.99,5.86,100.0,12.0,414.0,172.0,2783.0,112.0,13828.0,0.0,1780.0,13716.0,16069.0,16748.0,2556.0,2396.0,2613.0,2740.0,902.0,5820.0,5735.0,4527.0,3605.0,1923.0,32817.0,0.04,1.26,0.55,8.58,0.31,42.29,0.0,5.45,41.53,7.92,8.63,9.05,2.98,19.23,18.95,14.96,11.91,6.35,96.63,3.37,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,7.92,8.63,9.05,2.98,19.23,18.95,14.96,11.91,6.35,96.63,3.37,100.0,12.0,380.0,166.0,2597.0,95.0,12796.0,0.0,1649.0,12567.0,2396.0,2613.0,2740.0,902.0,5820.0,5735.0,4527.0,3605.0,1923.0,29242.0,1019.0,30261.0,0.0,1.41,0.46,7.88,0.34,44.46,0.0,5.64,39.81,48.07,51.93,100.0,29.79,14.81,38.65,16.74,0.0,357.0,116.0,1991.0,85.0,11227.0,0.0,1424.0,10053.0,12138.0,13114.0,25252.0,7523.0,3740.0,9761.0,4228.0
3500758,0.0,0.78,0.22,3.33,0.0,54.28,0.0,5.01,36.38,50.08,49.92,8.25,8.16,8.47,7.9,2.05,18.0,14.93,13.85,12.69,5.71,100.0,0.0,100.0,100.0,100.0,0.0,100.0,0.0,100.0,100.0,50.08,49.92,8.26,8.16,8.46,7.9,2.05,18.0,14.92,13.85,12.68,5.72,100.0,0.0,42.0,12.0,180.0,0.0,2935.0,0.0,271.0,1967.0,2708.0,2699.0,446.0,441.0,458.0,427.0,111.0,973.0,807.0,749.0,686.0,309.0,5407.0,0.0,0.85,0.24,3.45,0.0,54.85,0.0,4.6,36.02,8.89,9.23,8.61,2.24,19.61,16.27,15.1,13.83,6.23,95.04,4.96,100.0,0.0,100.0,100.0,100.0,0.0,100.0,0.0,100.0,100.0,8.9,9.23,8.61,2.24,19.62,16.26,15.1,13.82,6.23,95.05,4.95,100.0,0.0,42.0,12.0,171.0,0.0,2721.0,0.0,228.0,1787.0,441.0,458.0,427.0,111.0,973.0,807.0,749.0,686.0,309.0,4715.0,246.0,4961.0,0.0,0.89,0.15,3.08,0.0,56.23,0.0,4.33,35.33,50.0,50.0,100.0,41.31,17.26,32.03,9.4,0.0,36.0,6.0,125.0,0.0,2284.0,0.0,176.0,1435.0,2031.0,2031.0,4062.0,1678.0,701.0,1301.0,382.0
3500808,0.0,0.28,0.18,2.76,0.08,74.82,0.0,1.27,20.6,49.49,50.51,6.6,6.25,6.98,7.01,4.58,14.57,15.92,15.54,13.26,9.29,100.0,0.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,49.49,50.51,6.6,6.25,6.98,7.01,4.58,14.57,15.92,15.54,13.26,9.29,100.0,0.0,11.0,7.0,109.0,3.0,2957.0,0.0,50.0,814.0,1956.0,1996.0,261.0,247.0,276.0,277.0,181.0,576.0,629.0,614.0,524.0,367.0,3952.0,0.0,0.3,0.19,2.93,0.08,75.02,0.0,1.35,20.13,6.69,7.48,7.5,4.9,15.61,17.04,16.64,14.2,9.94,94.55,5.45,100.0,0.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,6.69,7.48,7.5,4.9,15.61,17.04,16.64,14.2,9.94,94.55,5.45,100.0,0.0,11.0,7.0,108.0,3.0,2769.0,0.0,50.0,743.0,247.0,276.0,277.0,181.0,576.0,629.0,614.0,524.0,367.0,3490.0,201.0,3691.0,0.0,0.35,0.16,2.81,0.0,76.04,0.0,1.33,19.32,48.77,51.23,100.0,37.88,10.67,38.45,12.97,0.0,11.0,5.0,89.0,0.0,2409.0,0.0,42.0,612.0,1545.0,1623.0,3168.0,1200.0,338.0,1218.0,411.0
