CD_MUN,V16000001,V16000002,V16000003,V16000004,V16000005,V16000006,V16000007,V16000008,V16000009,V16000010,V16000011,V16000012,V16000013,V16000014,V16000015,V16000016,V16000017,V16000018,V16000019,V16000020,V16000021,V16000022,V16000023,V16000024,V16000025,V16000026,V16000027,V16000028,V16000029,V16000030,V16000031,V16000032,V16000033,V16000034,V16000035,V16000036,V16000037,V16000038,V16000039,V16000040,V16000041,V16000042,V16000043,V16000044,V16000045,V16000046,V16000047,V16000048,V16000049,V16000050,V16000051,V16000052,V16000053,V16000054,V16000055,V16000056,V16000057,V16000058,V16000059,V16000060,V16000061,V16000062,V16000063,V16000064,V16000065,V16000066,V16000067,V16000068,V16000069,V16000070,V16000071,V16000072,V16000073,V16000074,V16000075,V16000076,V16000077,V16000078,V16000079,V16000080,V16000081,V16000082,V16000083,V16000084,V16000085,V16000086,V16000087,V16000088,V16000089,V16000090,V16000091,V16000092,V16000093,V16000094,V16000095,V16000096,V16000097,V16000098,V16000099,V16000100,V16000101,V16000102,V16000103,V16000104,V16000105,V16000106,V16000107,V16000108,V16000109,V16000110,V16000111,V16000112,V16000113,V16000114,V16000115,V16000116,V16000117,V16000118,V16000119,V16000120,V16000121,V16000122,V16000123,V16000124,V16000125,V16000126,V16000127,V16000128,V16000129,V16000130,V16000131,V16000132,V16000133,V16000134,V16000135,V16000136,V16000137,V16000138,V16000139,V16000140,V16000141,V16000142,V16000143,V16000144,V16000145,V16000146,V16000147,V16000148,V16000149,V16000150,V16000151,V16000152,V16000153,V16000154,V16000155,V16000156,V16000157,V16000158,V16000159,V16000160,V16000161,V16000162,V16000163,V16000164,V16000165,V16000166,V16000167,V16000168,V16000169,V16000170,V16000171,V16000172,V16000173,V16000174,V16000175,V16000176,V16000177,V16000178,V16000179,V16000180,V16000181,V16000182,V16000183,V16000184,V16000185,V16000186,V16000187,V16000188,V16000189,V16000190,V16000191,V16000192,V16000193,V16000194,V16000195,V16000196,V16000197,V16000198,V16000199,V16000200,V16000201,V16000202,V16000203,V16000204,V16000205,V16000206,V16000207,V16000208,V16000209,V16000210,V16000211,V16000212,V16000213,V16000214,V16000215,V16000216,V16000217,V16000218,V16000219,V16000220,V16000221,V16000222,V16000223,V16000224,V16000225,V16000226,V16000227,V16000228,V16000229,V16000230,V16000231,V16000232,V16000233,V16000234,V16000235,V16000236,V16000237,V16000238,V16000239,V16000240,V16000241,V16000242,V16000243,V16000244,V16000245,V16000246,V16000247,V16000248,V16000249,V16000250
3500105,51.5,48.48,2.08,97.14,2.72,0.16,69.77,4.04,1.99,24.21,0.0,100.0,4.06,11.96,35.25,30.51,8.01,5.11,3.03,3618.0,3406.0,146.0,6824.0,191.0,11.0,4901.0,284.0,140.0,1701.0,0.0,7025.0,285.0,840.0,2476.0,2143.0,563.0,359.0,213.0,3179.0,1236.0,154.0,70.0,842.0,3618.0,3406.0,6824.0,191.0,11.0,751.0,611.0,1701.0,1465.0,1012.0,1381.0,104.0,7025.0,728.0,815.0,54.03,45.97,3.65,92.76,11.12,81.63,5.5,0.09,0.78,100.0,0.71,3.72,26.27,42.82,13.97,8.79,0.07,82.5,4.72,9232.0,7855.0,624.0,15850.0,1901.0,13949.0,939.0,15.0,134.0,17088.0,121.0,636.0,4489.0,7317.0,2387.0,1502.0,12.0,14097.0,807.0,17.71,3.26,21.58,0.74,48.88,0.06,0.36,5.99,0.0,0.0,0.42,0.0,0.07,0.07,94.3,5.7,0.0,13.79,9.81,1.7,66.23,4.49,1.72,27.47,0.08,100.0,47.47,26.67,0.0,0.0,2496.0,459.0,3042.0,104.0,6890.0,9.0,51.0,844.0,0.0,0.0,59.0,0.0,10.0,10.0,13294.0,803.0,0.0,1944.0,1383.0,239.0,9337.0,633.0,243.0,3873.0,11.0,14097.0,6692.0,3760.0,0.0,0.0,54.12,45.88,3.26,13.27,10.78,1.84,65.79,4.7,1.76,27.67,0.07,100.0,47.02,26.13,0.0,0.17,0.59,3.74,26.04,44.39,13.96,8.02,0.0,8065.0,6838.0,486.0,1978.0,1606.0,274.0,9804.0,701.0,262.0,4124.0,11.0,14903.0,7007.0,3894.0,0.0,25.0,88.0,557.0,3881.0,6616.0,2080.0,1195.0,0.0,17.76,3.28,21.22,0.7,48.34,0.11,0.45,6.07,0.0,0.0,0.58,0.07,0.07,0.22,65.79,4.7,1.76,27.67,0.07,100.0,13.12,14.41,44.32,28.15,2647.0,489.0,3162.0,104.0,7204.0,17.0,67.0,905.0,0.0,0.0,86.0,11.0,10.0,33.0,9804.0,701.0,262.0,4124.0,11.0,14903.0,1956.0,2147.0,6605.0,4195.0
3500204,51.22,48.78,2.34,80.14,19.86,0.0,63.49,2.82,0.97,32.62,0.0,100.0,7.98,25.61,31.94,27.56,3.7,0.58,0.19,526.0,501.0,24.0,823.0,204.0,0.0,652.0,29.0,10.0,335.0,0.0,1027.0,82.0,263.0,328.0,283.0,38.0,6.0,2.0,547.0,164.0,22.0,0.0,56.0,526.0,501.0,823.0,204.0,0.0,75.0,103.0,270.0,190.0,146.0,210.0,32.0,1027.0,163.0,74.0,56.79,43.21,2.15,73.83,9.95,63.88,19.76,0.0,5.12,100.0,1.2,8.85,27.13,48.56,9.57,2.49,0.0,82.15,1.48,1187.0,903.0,45.0,1543.0,208.0,1335.0,413.0,0.0,107.0,2090.0,25.0,185.0,567.0,1015.0,200.0,52.0,0.0,1717.0,31.0,12.11,24.46,7.57,0.52,25.74,0.0,1.05,25.8,0.12,0.0,0.29,1.4,0.17,0.41,77.11,22.89,0.0,18.87,8.79,5.82,58.77,4.02,0.58,36.28,0.29,100.0,37.16,29.24,0.0,0.0,208.0,420.0,130.0,9.0,442.0,0.0,18.0,443.0,2.0,0.0,5.0,24.0,3.0,7.0,1324.0,393.0,0.0,324.0,151.0,100.0,1009.0,69.0,10.0,623.0,5.0,1717.0,638.0,502.0,0.0,0.0,56.86,43.19,1.2,18.54,8.81,5.72,58.52,4.29,0.57,36.33,0.29,100.0,36.9,28.89,0.17,0.86,1.03,8.98,29.63,48.51,8.24,2.46,0.0,994.0,755.0,21.0,324.0,154.0,100.0,1023.0,75.0,10.0,635.0,5.0,1748.0,645.0,505.0,3.0,15.0,18.0,157.0,518.0,848.0,144.0,43.0,0.0,11.9,24.49,7.44,0.51,26.2,0.17,1.03,25.34,0.11,0.0,0.29,1.37,0.17,0.4,58.52,4.29,0.57,36.33,0.29,100.0,31.46,16.48,38.04,14.02,208.0,428.0,130.0,9.0,458.0,3.0,18.0,443.0,2.0,0.0,5.0,24.0,3.0,7.0,1023.0,75.0,10.0,635.0,5.0,1748.0,550.0,288.0,665.0,245.0
3500303,51.03,48.97,0.14,91.95,8.04,0.0,63.87,4.55,0.16,31.41,0.0,100.0,9.46,21.24,39.61,20.95,4.9,1.43,2.28,4114.0,3948.0,11.0,7413.0,648.0,0.0,5149.0,367.0,13.0,2532.0,0.0,8062.0,763.0,1712.0,3193.0,1689.0,395.0,115.0,184.0,3957.0,1630.0,106.0,75.0,615.0,4114.0,3948.0,7413.0,648.0,0.0,632.0,1073.0,2097.0,1543.0,1158.0,1437.0,122.0,8062.0,806.0,873.0,58.57,41.43,1.46,91.6,23.31,68.29,5.53,0.0,1.19,100.0,1.97,8.46,35.75,38.56,10.39,3.42,0.0,71.68,2.14,8289.0,5864.0,206.0,12964.0,3299.0,9665.0,783.0,0.0,169.0,14153.0,279.0,1197.0,5059.0,5457.0,1470.0,484.0,0.0,10145.0,303.0,12.28,22.59,19.34,0.59,28.53,0.0,3.53,11.57,0.0,0.0,0.43,0.0,0.0,0.1,93.63,6.36,0.0,16.63,12.6,3.5,59.11,7.86,0.5,32.53,0.0,100.0,37.94,28.21,0.39,0.0,1246.0,2292.0,1962.0,60.0,2894.0,0.0,358.0,1174.0,0.0,0.0,44.0,0.0,0.0,10.0,9499.0,645.0,0.0,1687.0,1278.0,355.0,5997.0,797.0,51.0,3300.0,0.0,10145.0,3849.0,2862.0,40.0,0.0,59.04,40.96,0.99,16.22,12.75,4.43,59.49,7.7,0.49,32.31,0.0,100.0,37.0,28.06,0.56,0.26,1.62,9.19,35.58,40.18,9.19,3.26,0.0,6169.0,4280.0,103.0,1695.0,1332.0,463.0,6216.0,805.0,51.0,3376.0,0.0,10448.0,3866.0,2932.0,58.0,27.0,169.0,960.0,3717.0,4198.0,960.0,341.0,0.0,12.29,22.11,19.04,0.57,28.99,0.0,3.49,11.77,0.0,0.0,0.52,0.0,0.0,0.1,59.49,7.7,0.49,32.31,0.0,100.0,25.56,18.0,40.61,15.84,1284.0,2310.0,1989.0,60.0,3029.0,0.0,365.0,1230.0,0.0,0.0,54.0,0.0,0.0,10.0,6216.0,805.0,51.0,3376.0,0.0,10448.0,2670.0,1881.0,4243.0,1655.0
3500402,52.57,47.43,0.32,72.45,27.49,0.0,65.76,2.34,0.32,31.58,0.0,100.0,5.78,20.14,37.75,29.24,4.68,0.71,1.36,809.0,730.0,5.0,1115.0,423.0,0.0,1012.0,36.0,5.0,486.0,0.0,1539.0,89.0,310.0,581.0,450.0,72.0,11.0,21.0,882.0,248.0,15.0,5.0,93.0,809.0,730.0,1115.0,423.0,0.0,113.0,123.0,454.0,308.0,245.0,255.0,41.0,1539.0,149.0,147.0,56.27,43.73,2.13,70.71,16.36,54.35,27.16,0.0,1.36,100.0,1.39,7.25,28.76,45.09,10.21,5.21,0.0,79.53,1.95,1902.0,1478.0,72.0,2390.0,553.0,1837.0,918.0,0.0,46.0,3380.0,47.0,245.0,972.0,1524.0,345.0,176.0,0.0,2688.0,66.0,22.99,1.53,14.99,0.19,42.6,0.19,2.86,11.35,0.0,0.0,2.38,0.0,0.19,0.37,67.97,32.03,0.0,10.34,14.47,3.27,67.04,6.88,0.19,25.89,0.0,100.0,39.43,32.29,0.0,0.0,618.0,41.0,403.0,5.0,1145.0,5.0,77.0,305.0,0.0,0.0,64.0,0.0,5.0,10.0,1827.0,861.0,0.0,278.0,389.0,88.0,1802.0,185.0,5.0,696.0,0.0,2688.0,1060.0,868.0,0.0,0.0,55.43,44.57,1.31,10.09,15.03,3.38,67.11,6.9,0.18,25.81,0.0,100.0,39.6,31.69,0.0,0.0,1.52,7.51,30.02,46.9,8.24,4.5,0.0,1527.0,1228.0,36.0,278.0,414.0,93.0,1849.0,190.0,5.0,711.0,0.0,2755.0,1091.0,873.0,0.0,0.0,42.0,207.0,827.0,1292.0,227.0,124.0,0.0,22.79,1.49,15.35,0.18,42.47,0.18,2.79,11.43,0.0,0.0,2.32,0.0,0.18,0.36,67.11,6.9,0.18,25.81,0.0,100.0,28.49,16.7,39.13,15.68,628.0,41.0,423.0,5.0,1170.0,5.0,77.0,315.0,0.0,0.0,64.0,0.0,5.0,10.0,1849.0,190.0,5.0,711.0,0.0,2755.0,785.0,460.0,1078.0,432.0
3500501,50.78,49.22,1.08,89.01,10.99,0.0,72.47,2.23,0.0,25.3,0.0,100.0,2.98,14.31,39.22,33.34,6.08,2.29,0.69,1686.0,1634.0,36.0,2955.0,365.0,0.0,2406.0,74.0,0.0,840.0,0.0,3320.0,99.0,475.0,1302.0,1107.0,202.0,76.0,23.0,1797.0,510.0,35.0,0.0,165.0,1686.0,1634.0,2955.0,365.0,0.0,171.0,89.0,939.0,810.0,545.0,761.0,4.0,3320.0,434.0,380.0,53.79,46.22,1.82,84.71,18.09,66.63,12.22,0.0,1.95,100.0,0.35,4.55,26.9,49.43,11.23,5.73,0.0,59.06,19.79,5079.0,4364.0,172.0,7998.0,1708.0,6291.0,1154.0,0.0,184.0,9442.0,33.0,430.0,2540.0,4667.0,1060.0,541.0,0.0,5576.0,1869.0,19.24,0.97,20.05,1.42,46.48,0.0,0.61,9.63,0.0,0.0,0.16,0.0,0.2,0.07,85.58,14.42,0.0,18.58,6.19,0.72,71.75,3.53,0.0,24.71,0.0,100.0,39.8,33.68,0.0,0.0,1073.0,54.0,1118.0,79.0,2592.0,0.0,34.0,537.0,0.0,0.0,9.0,0.0,11.0,4.0,4772.0,804.0,0.0,1036.0,345.0,40.0,4001.0,197.0,0.0,1378.0,0.0,5576.0,2219.0,1878.0,0.0,0.0,54.81,45.19,1.3,18.63,6.05,0.59,70.85,4.45,0.0,24.72,0.0,100.0,41.04,32.39,0.16,0.17,0.38,4.07,28.63,49.77,10.99,4.86,0.0,4080.0,3364.0,97.0,1387.0,450.0,44.0,5274.0,331.0,0.0,1840.0,0.0,7444.0,3055.0,2411.0,12.0,13.0,28.0,303.0,2131.0,3705.0,818.0,362.0,0.0,18.05,1.01,20.73,1.06,45.29,0.0,0.74,11.65,0.0,0.0,0.16,0.0,0.15,0.11,70.88,4.44,0.0,24.69,0.0,100.0,23.4,17.78,42.46,16.36,1345.0,75.0,1545.0,79.0,3375.0,0.0,55.0,868.0,0.0,0.0,12.0,0.0,11.0,8.0,5282.0,331.0,0.0,1840.0,0.0,7452.0,1744.0,1325.0,3164.0,1219.0
3500550,51.6,48.34,1.77,79.39,20.32,0.23,66.38,3.2,0.0,30.42,0.0,100.0,2.0,19.58,35.16,26.83,9.02,5.37,0.29,904.0,847.0,31.0,1391.0,356.0,4.0,1163.0,56.0,0.0,533.0,0.0,1752.0,35.0,343.0,616.0,470.0,158.0,94.0,5.0,884.0,290.0,39.0,0.0,210.0,904.0,847.0,1391.0,356.0,4.0,192.0,129.0,443.0,405.0,267.0,301.0,14.0,1752.0,120.0,208.0,58.05,41.95,4.36,83.55,15.91,67.64,14.38,0.0,2.04,100.0,0.34,6.57,27.88,39.36,13.75,7.69,0.0,79.76,2.27,2022.0,1461.0,152.0,2910.0,554.0,2356.0,501.0,0.0,71.0,3483.0,12.0,229.0,971.0,1371.0,479.0,268.0,0.0,2778.0,79.0,23.79,1.19,5.94,0.25,52.23,0.0,5.4,9.29,0.0,0.0,0.4,0.0,0.0,0.5,84.31,15.69,0.0,17.21,12.46,1.55,63.64,5.72,0.29,30.17,0.25,100.0,35.46,32.79,0.11,0.0,661.0,33.0,165.0,7.0,1451.0,0.0,150.0,258.0,0.0,0.0,11.0,0.0,0.0,14.0,2342.0,436.0,0.0,478.0,346.0,43.0,1768.0,159.0,8.0,838.0,7.0,2778.0,985.0,911.0,3.0,0.0,58.26,41.74,3.11,17.21,12.84,1.92,63.96,5.84,0.28,29.67,0.24,100.0,34.64,32.16,0.8,0.0,0.21,7.07,27.85,39.64,14.91,7.21,0.0,1665.0,1193.0,89.0,492.0,367.0,55.0,1828.0,167.0,8.0,848.0,7.0,2858.0,990.0,919.0,23.0,0.0,6.0,202.0,796.0,1133.0,426.0,206.0,0.0,23.13,1.15,5.88,0.24,53.04,0.0,5.25,9.34,0.0,0.0,0.38,0.0,0.0,0.49,63.96,5.84,0.28,29.67,0.24,100.0,18.75,16.66,40.34,24.25,661.0,33.0,168.0,7.0,1516.0,0.0,150.0,267.0,0.0,0.0,11.0,0.0,0.0,14.0,1828.0,167.0,8.0,848.0,7.0,2858.0,536.0,476.0,1153.0,693.0
3500600,53.95,46.24,3.66,69.75,29.48,0.77,82.27,6.17,0.77,10.79,0.0,100.0,1.35,4.24,27.55,36.22,9.63,14.26,3.08,280.0,240.0,19.0,362.0,153.0,4.0,427.0,32.0,4.0,56.0,0.0,519.0,7.0,22.0,143.0,188.0,50.0,74.0,16.0,259.0,62.0,13.0,6.0,81.0,280.0,240.0,362.0,153.0,4.0,63.0,48.0,134.0,118.0,62.0,94.0,0.0,519.0,49.0,47.0,52.47,47.53,13.38,72.77,23.57,49.2,25.56,0.16,1.19,100.0,0.72,1.59,16.32,35.59,16.64,15.37,0.32,71.58,3.34,659.0,597.0,168.0,914.0,296.0,618.0,321.0,2.0,15.0,1256.0,9.0,20.0,205.0,447.0,209.0,193.0,4.0,899.0,42.0,30.7,1.45,2.22,0.0,58.95,0.0,1.0,4.89,0.0,0.0,0.0,0.0,0.0,0.11,68.41,31.59,0.0,25.7,9.57,2.67,78.09,5.12,1.67,14.91,0.33,100.0,35.26,25.58,1.0,0.0,276.0,13.0,20.0,0.0,530.0,0.0,9.0,44.0,0.0,0.0,0.0,0.0,0.0,1.0,615.0,284.0,0.0,231.0,86.0,24.0,702.0,46.0,15.0,134.0,3.0,899.0,317.0,230.0,9.0,0.0,52.07,48.03,12.22,24.55,9.46,3.51,77.36,4.89,1.59,15.83,0.32,100.0,33.69,25.72,1.28,1.59,0.53,1.91,18.38,38.26,15.41,12.96,0.43,490.0,452.0,115.0,231.0,89.0,33.0,728.0,46.0,15.0,149.0,3.0,941.0,317.0,242.0,12.0,15.0,5.0,18.0,173.0,360.0,145.0,122.0,4.0,29.65,1.38,2.13,0.0,57.49,0.0,1.28,6.38,0.0,0.0,0.0,0.0,0.0,0.74,77.36,4.89,1.59,15.83,0.32,100.0,14.67,6.91,38.47,39.96,279.0,13.0,20.0,0.0,541.0,0.0,12.0,60.0,0.0,0.0,0.0,0.0,0.0,7.0,728.0,46.0,15.0,149.0,3.0,941.0,138.0,65.0,362.0,376.0
3500709,50.09,49.91,1.6,89.04,10.97,0.0,58.09,3.79,0.37,37.59,0.17,100.0,6.35,18.07,37.03,25.94,5.29,4.39,1.35,4894.0,4876.0,156.0,8699.0,1072.0,0.0,5675.0,370.0,36.0,3673.0,17.0,9770.0,620.0,1765.0,3618.0,2534.0,517.0,429.0,132.0,4840.0,1490.0,241.0,15.0,1025.0,4894.0,4876.0,8699.0,1072.0,0.0,714.0,1188.0,2439.0,2048.0,1302.0,2006.0,74.0,9770.0,1241.0,917.0,55.4,44.6,3.14,76.14,13.23,62.91,21.35,0.0,1.9,100.0,1.06,7.68,30.74,39.36,11.35,6.64,0.03,82.01,2.24,9974.0,8028.0,565.0,13706.0,2381.0,11325.0,3843.0,0.0,342.0,18002.0,191.0,1383.0,5533.0,7086.0,2043.0,1196.0,5.0,14764.0,404.0,13.86,1.91,12.02,0.49,44.71,0.02,1.9,23.34,0.0,0.0,0.14,0.11,0.0,0.0,74.84,25.16,0.0,11.86,15.65,3.09,56.25,8.23,0.43,34.89,0.21,100.0,31.51,36.8,0.18,0.0,2047.0,282.0,1776.0,72.0,6603.0,3.0,281.0,3447.0,0.0,0.0,20.0,16.0,0.0,0.0,11054.0,3716.0,0.0,1751.0,2312.0,457.0,8308.0,1215.0,64.0,5153.0,31.0,14770.0,4654.0,5435.0,27.0,0.0,56.36,43.64,2.22,11.76,15.39,3.23,56.35,8.51,0.42,34.51,0.2,100.0,31.35,36.81,0.28,0.17,1.17,7.81,31.45,39.54,11.56,6.21,0.03,8548.0,6620.0,336.0,1783.0,2334.0,490.0,8547.0,1291.0,64.0,5235.0,31.0,15168.0,4755.0,5583.0,43.0,26.0,178.0,1184.0,4770.0,5998.0,1754.0,942.0,5.0,13.81,1.86,11.76,0.55,44.93,0.11,1.85,23.28,0.0,0.0,0.2,0.11,0.0,0.0,56.33,8.51,0.42,34.53,0.2,100.0,15.05,16.98,48.39,19.58,2096.0,282.0,1785.0,83.0,6817.0,17.0,281.0,3533.0,0.0,0.0,31.0,16.0,0.0,0.0,8547.0,1291.0,64.0,5240.0,31.0,15174.0,2283.0,2576.0,7343.0,2971.0
3500758,50.88,49.12,0.17,78.0,21.66,0.0,70.1,4.72,0.17,24.67,0.34,100.0,6.59,17.11,44.57,23.65,5.51,1.19,1.19,895.0,864.0,3.0,1372.0,381.0,0.0,1233.0,83.0,3.0,434.0,6.0,1759.0,116.0,301.0,784.0,416.0,97.0,21.0,21.0,890.0,450.0,13.0,3.0,212.0,895.0,864.0,1372.0,381.0,0.0,148.0,373.0,386.0,355.0,246.0,183.0,69.0,1759.0,72.0,121.0,61.34,38.66,1.07,62.62,14.15,48.47,32.4,0.0,4.13,100.0,1.42,9.32,37.8,38.12,9.67,2.56,0.0,76.67,4.16,1725.0,1087.0,30.0,1761.0,398.0,1363.0,911.0,0.0,116.0,2812.0,40.0,262.0,1063.0,1072.0,272.0,72.0,0.0,2156.0,117.0,23.98,4.27,18.32,0.14,27.83,0.14,3.62,18.6,0.0,0.0,2.04,0.0,0.0,0.83,63.22,36.83,0.0,19.25,14.15,2.83,68.65,4.73,0.0,26.3,0.28,100.0,25.42,37.94,0.14,0.0,517.0,92.0,395.0,3.0,600.0,3.0,78.0,401.0,0.0,0.0,44.0,0.0,0.0,18.0,1363.0,794.0,0.0,415.0,305.0,61.0,1480.0,102.0,0.0,567.0,6.0,2156.0,548.0,818.0,3.0,0.0,59.61,40.43,0.79,18.26,14.08,3.65,68.5,4.8,0.0,26.44,0.26,100.0,24.11,38.06,0.79,0.26,1.36,8.97,38.5,39.33,8.45,2.64,0.0,1355.0,919.0,18.0,415.0,320.0,83.0,1557.0,109.0,0.0,601.0,6.0,2273.0,548.0,865.0,18.0,6.0,31.0,204.0,875.0,894.0,192.0,60.0,0.0,22.75,4.18,17.95,0.13,28.42,0.13,3.43,19.23,0.0,0.0,2.33,0.0,0.0,1.06,68.5,4.8,0.0,26.44,0.26,100.0,19.89,19.14,49.01,11.97,517.0,95.0,408.0,3.0,646.0,3.0,78.0,437.0,0.0,0.0,53.0,0.0,0.0,24.0,1557.0,109.0,0.0,601.0,6.0,2273.0,452.0,435.0,1114.0,272.0
3500808,51.17,48.83,0.67,80.0,19.44,0.0,53.74,5.03,1.45,39.89,0.0,100.0,4.92,23.58,39.11,25.03,4.02,2.01,0.67,458.0,437.0,6.0,716.0,174.0,0.0,481.0,45.0,13.0,357.0,0.0,895.0,44.0,211.0,350.0,224.0,36.0,18.0,6.0,449.0,140.0,21.0,0.0,38.0,458.0,437.0,716.0,174.0,0.0,40.0,35.0,248.0,211.0,135.0,217.0,8.0,895.0,143.0,104.0,56.66,43.34,1.85,75.26,7.78,67.48,23.19,0.0,1.2,100.0,0.8,7.88,30.47,41.85,11.97,5.09,0.15,88.88,1.85,1136.0,869.0,37.0,1509.0,156.0,1353.0,465.0,0.0,24.0,2005.0,16.0,158.0,611.0,839.0,240.0,102.0,3.0,1782.0,37.0,37.77,1.68,6.96,0.34,43.43,0.0,0.9,7.91,0.0,0.0,0.0,0.0,0.0,0.84,75.76,24.24,0.0,25.31,14.25,2.58,53.42,6.4,1.74,38.44,0.0,100.0,31.76,26.09,0.0,0.0,673.0,30.0,124.0,6.0,774.0,0.0,16.0,141.0,0.0,0.0,0.0,0.0,0.0,15.0,1350.0,432.0,0.0,451.0,254.0,46.0,952.0,114.0,31.0,685.0,0.0,1782.0,566.0,465.0,0.0,0.0,56.95,42.99,2.03,24.96,14.57,2.53,53.6,6.27,1.7,38.37,0.0,100.0,31.12,26.72,0.16,0.0,0.88,7.92,30.02,42.99,11.21,4.78,0.16,1036.0,782.0,37.0,454.0,265.0,46.0,975.0,114.0,31.0,698.0,0.0,1819.0,566.0,486.0,3.0,0.0,16.0,144.0,546.0,782.0,204.0,87.0,3.0,37.16,1.65,7.31,0.33,43.27,0.0,0.88,8.3,0.0,0.0,0.0,0.0,0.0,0.82,53.6,6.27,1.7,38.37,0.0,100.0,16.66,10.72,53.44,19.13,676.0,30.0,133.0,6.0,787.0,0.0,16.0,151.0,0.0,0.0,0.0,0.0,0.0,15.0,975.0,114.0,31.0,698.0,0.0,1819.0,303.0,195.0,972.0,348.0
