CD_MUN,V18000001,V18000002,V18000003,V18000004,V18000005,V18000006,V18000007,V18000008,V18000009,V18000010,V18000011,V18000012,V18000013,V18000014,V18000015,V18000016,V18000017,V18000018,V18000019,V18000020,V18000021,V18000022,V18000023,V18000024,V18000025,V18000026,V18000027,V18000028,V18000029,V18000030,V18000031,V18000032,V18000033,V18000034,V18000035,V18000036,V18000037,V18000038,V18000039,V18000040,V18000041,V18000042,V18000043,V18000044,V18000045,V18000046,V18000047,V18000048,V18000049,V18000050,V18000051,V18000052,V18000053,V18000054,V18000055,V18000056,V18000057,V18000058,V18000059,V18000060,V18000061,V18000062,V18000063,V18000064,V18000065,V18000066,V18000067,V18000068,V18000069,V18000070,V18000071,V18000072,V18000073,V18000074,V18000075,V18000076,V18000077,V18000078,V18000079,V18000080,V18000081,V18000082,V18000083,V18000084,V18000085,V18000086,V18000087,V18000088,V18000089,V18000090,V18000091,V18000092,V18000093,V18000094,V18000095,V18000096,V18000097,V18000098,V18000099,V18000100,V18000101,V18000102,V18000103,V18000104,V18000105,V18000106,V18000107,V18000108,V18000109,V18000110,V18000111,V18000112,V18000113,V18000114,V18000115,V18000116,V18000117,V18000118,V18000119,V18000120,V18000121,V18000122,V18000123,V18000124,V18000125,V18000126,V18000127,V18000128,V18000129,V18000130,V18000131,V18000132,V18000133,V18000134,V18000135,V18000136,V18000137,V18000138,V18000139,V18000140,V18000141,V18000142,V18000143,V18000144,V18000145,V18000146,V18000147,V18000148,V18000149,V18000150,V18000151,V18000152,V18000153,V18000154,V18000155,V18000156,V18000157,V18000158,V18000159,V18000160,V18000161,V18000162,V18000163,V18000164,V18000165,V18000166
3500105,0.0,54.53,45.47,100.0,0.94,0.35,1.06,0.12,0.12,0.12,0.24,1.18,0.24,0.82,1.77,2.24,2.59,5.42,5.77,6.48,9.19,10.13,13.55,15.31,12.25,8.24,2.24,0.71,0.35,0.47,0.12,0.0,0.0,18.85,21.55,13.43,11.19,14.02,11.43,9.54,0.0,0.0,463.0,386.0,849.0,8.0,3.0,9.0,1.0,1.0,1.0,2.0,10.0,2.0,7.0,15.0,19.0,22.0,46.0,49.0,55.0,78.0,86.0,115.0,130.0,104.0,70.0,19.0,6.0,3.0,4.0,1.0,0.0,0.0,160.0,183.0,114.0,95.0,119.0,97.0,81.0,0.0,99.76,99.76,,0.0,0.05,0.19,0.0,73.38,2.35,0.62,23.59,0.05,0.0,100.0,17.2,16.43,17.01,18.6,15.47,15.28,1.39,2.11,1.87,1.49,1.68,1.2,1.25,1.11,1.59,1.35,1.2,0.96,2076.0,2076.0,,0.0,1.0,4.0,0.0,1527.0,49.0,13.0,491.0,1.0,0.0,2081.0,358.0,342.0,354.0,387.0,322.0,318.0,29.0,44.0,39.0,31.0,35.0,25.0,26.0,23.0,33.0,28.0,25.0,20.0,99.76,99.44,100.0,99.15,100.0,100.0,100.0,99.78,100.0,100.0,100.0,100.0,97.14,100.0,100.0,100.0,100.0,100.0,100.0,95.0
3500204,0.0,53.57,46.43,100.0,1.19,0.0,1.19,0.0,0.0,0.0,0.0,0.0,1.19,0.0,0.0,5.95,3.57,4.76,5.95,11.9,9.52,4.76,10.71,17.86,10.71,7.14,4.76,0.0,1.19,0.0,0.0,0.0,0.0,22.62,19.05,10.71,15.48,17.86,5.95,8.33,0.0,0.0,45.0,39.0,84.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,3.0,4.0,5.0,10.0,8.0,4.0,9.0,15.0,9.0,6.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,19.0,16.0,9.0,13.0,15.0,5.0,7.0,0.0,98.62,98.62,,0.0,0.69,0.69,0.0,63.67,3.11,0.0,33.22,0.0,0.0,100.0,18.69,17.99,15.22,14.88,16.96,16.26,0.35,0.69,0.35,2.08,1.38,3.46,1.38,2.77,1.38,1.04,1.04,2.77,285.0,285.0,,0.0,2.0,2.0,0.0,184.0,9.0,0.0,96.0,0.0,0.0,289.0,54.0,52.0,44.0,43.0,49.0,47.0,1.0,2.0,1.0,6.0,4.0,10.0,4.0,8.0,4.0,3.0,3.0,8.0,98.62,98.15,98.08,100.0,100.0,100.0,95.74,98.91,100.0,100.0,100.0,100.0,75.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
3500303,0.0,55.38,44.62,100.0,1.3,0.13,2.08,0.78,0.26,0.13,0.52,1.69,1.17,2.59,1.43,3.5,4.54,6.49,8.04,9.08,10.38,11.15,9.34,11.67,8.82,4.54,2.2,0.26,0.52,0.26,0.13,0.39,0.0,22.31,20.23,11.28,11.02,14.92,7.91,12.32,0.0,0.0,427.0,344.0,771.0,10.0,1.0,16.0,6.0,2.0,1.0,4.0,13.0,9.0,20.0,11.0,27.0,35.0,50.0,62.0,70.0,80.0,86.0,72.0,90.0,68.0,35.0,17.0,2.0,4.0,2.0,1.0,3.0,0.0,172.0,156.0,87.0,85.0,115.0,61.0,95.0,0.0,99.67,99.67,,0.0,0.17,0.12,0.04,67.63,3.4,0.17,28.8,0.0,0.0,100.0,14.98,15.48,15.98,17.43,17.88,18.26,1.16,1.04,1.7,1.58,1.66,1.12,0.87,1.41,1.37,1.29,0.95,0.83,2402.0,2402.0,,0.0,4.0,3.0,1.0,1630.0,82.0,4.0,694.0,0.0,0.0,2410.0,361.0,373.0,385.0,420.0,431.0,440.0,28.0,25.0,41.0,38.0,40.0,27.0,21.0,34.0,33.0,31.0,23.0,20.0,99.67,99.72,99.46,99.74,99.76,99.77,99.55,99.7,96.43,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
3500402,0.0,51.04,48.96,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52,1.04,0.52,2.6,0.0,1.04,3.13,4.17,8.33,10.42,9.38,8.85,8.85,14.58,8.85,11.98,4.17,1.56,0.0,0.0,0.0,0.0,0.0,25.52,19.27,9.38,10.94,12.5,13.54,8.85,0.0,0.0,98.0,94.0,192.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,5.0,0.0,2.0,6.0,8.0,16.0,20.0,18.0,17.0,17.0,28.0,17.0,23.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,49.0,37.0,18.0,21.0,24.0,26.0,17.0,0.0,99.08,99.08,,0.0,0.69,0.23,0.0,74.6,0.92,0.69,23.79,0.0,0.0,100.0,15.7,16.4,14.78,14.78,17.55,20.79,2.08,1.15,1.15,0.69,1.85,1.62,1.62,0.69,1.15,1.15,1.62,0.92,429.0,429.0,,0.0,3.0,1.0,0.0,323.0,4.0,3.0,103.0,0.0,0.0,433.0,68.0,71.0,64.0,64.0,76.0,90.0,9.0,5.0,5.0,3.0,8.0,7.0,7.0,3.0,5.0,5.0,7.0,4.0,99.08,98.53,98.59,100.0,100.0,98.68,98.89,99.32,100.0,100.0,100.0,100.0,100.0,85.71,100.0,100.0,100.0,100.0,100.0,100.0
3500501,0.0,53.83,46.17,100.0,0.49,0.0,0.74,0.25,0.49,0.0,0.25,0.99,0.74,1.73,2.22,2.22,3.21,6.67,4.2,8.4,10.37,9.14,12.35,14.57,10.37,8.4,2.72,0.25,0.25,0.25,0.0,0.0,0.0,19.51,21.98,12.59,14.81,11.85,9.14,10.12,0.0,0.0,218.0,187.0,405.0,2.0,0.0,3.0,1.0,2.0,0.0,1.0,4.0,3.0,7.0,9.0,9.0,13.0,27.0,17.0,34.0,42.0,37.0,50.0,59.0,42.0,34.0,11.0,1.0,1.0,1.0,0.0,0.0,0.0,79.0,89.0,51.0,60.0,48.0,37.0,41.0,0.0,99.7,99.7,,0.0,0.1,0.1,0.1,72.47,1.9,0.0,25.63,0.0,0.0,100.0,14.21,13.61,18.02,18.52,16.02,19.62,1.8,0.9,1.3,1.5,1.3,1.0,1.3,1.4,1.3,1.1,0.5,0.8,996.0,996.0,,0.0,1.0,1.0,1.0,724.0,19.0,0.0,256.0,0.0,0.0,999.0,142.0,136.0,180.0,185.0,160.0,196.0,18.0,9.0,13.0,15.0,13.0,10.0,13.0,14.0,13.0,11.0,5.0,8.0,99.7,100.0,98.53,100.0,100.0,99.38,100.0,99.86,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
3500550,0.0,56.97,43.03,100.0,1.21,0.0,1.82,0.61,0.0,0.0,1.82,0.61,4.85,0.0,1.21,0.61,4.85,4.24,10.3,9.09,10.91,9.7,8.48,13.94,8.48,7.27,1.21,0.61,0.61,0.0,0.61,0.0,0.0,17.58,26.06,11.52,14.55,10.91,10.3,9.09,0.0,0.0,94.0,71.0,165.0,2.0,0.0,3.0,1.0,0.0,0.0,3.0,1.0,8.0,0.0,2.0,1.0,8.0,7.0,17.0,15.0,18.0,16.0,14.0,23.0,14.0,12.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,29.0,43.0,19.0,24.0,18.0,17.0,15.0,0.0,99.78,99.78,,0.0,0.0,0.22,0.0,67.4,2.41,0.22,29.98,0.0,0.0,100.0,11.6,15.97,15.75,20.57,18.6,17.51,0.66,1.31,0.66,0.66,0.22,1.31,1.53,1.97,0.0,0.88,1.31,1.09,456.0,456.0,,0.0,0.0,1.0,0.0,308.0,11.0,1.0,137.0,0.0,0.0,457.0,53.0,73.0,72.0,94.0,85.0,80.0,3.0,6.0,3.0,3.0,1.0,6.0,7.0,9.0,0.0,4.0,6.0,5.0,99.78,100.0,98.63,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0
3500600,0.0,55.95,44.05,100.0,0.0,0.0,0.0,0.0,0.0,0.0,1.19,0.0,0.0,0.0,1.19,1.19,1.19,0.0,2.38,7.14,7.14,16.67,14.29,14.29,14.29,14.29,2.38,2.38,0.0,0.0,0.0,0.0,0.0,16.67,23.81,15.48,14.29,15.48,5.95,8.33,0.0,0.0,47.0,37.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,6.0,6.0,14.0,12.0,12.0,12.0,12.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,14.0,20.0,13.0,12.0,13.0,5.0,7.0,0.0,100.0,100.0,,0.0,0.0,0.0,0.0,79.65,0.88,3.54,15.93,0.0,0.0,100.0,11.5,18.58,18.58,16.81,20.35,14.16,0.0,0.0,0.88,0.88,0.0,0.0,2.65,2.65,0.88,1.77,1.77,0.0,113.0,113.0,,0.0,0.0,0.0,0.0,90.0,1.0,4.0,18.0,0.0,0.0,113.0,13.0,21.0,21.0,19.0,23.0,16.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,3.0,1.0,2.0,2.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,100.0,100.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,0.0
3500709,0.0,55.01,44.99,100.0,1.19,0.0,1.43,0.24,0.0,0.24,0.24,2.03,1.55,1.55,3.46,2.63,4.18,5.25,6.68,9.67,9.43,12.65,10.5,11.1,9.31,5.13,2.03,0.95,0.48,0.36,0.24,0.12,0.0,18.74,21.6,12.65,12.29,14.08,11.22,9.43,0.0,0.0,461.0,377.0,838.0,10.0,0.0,12.0,2.0,0.0,2.0,2.0,17.0,13.0,13.0,29.0,22.0,35.0,44.0,56.0,81.0,79.0,106.0,88.0,93.0,78.0,43.0,17.0,8.0,4.0,3.0,2.0,1.0,0.0,157.0,181.0,106.0,103.0,118.0,94.0,79.0,0.0,99.65,99.65,,0.0,0.18,0.18,0.0,63.24,3.01,0.18,33.54,0.04,0.0,100.0,15.93,14.95,15.97,16.88,18.14,18.14,1.51,1.61,1.09,1.26,1.19,1.23,1.33,1.51,1.37,1.19,1.19,1.47,2846.0,2846.0,,0.0,5.0,5.0,0.0,1806.0,86.0,5.0,958.0,1.0,0.0,2856.0,455.0,427.0,456.0,482.0,518.0,518.0,43.0,46.0,31.0,36.0,34.0,35.0,38.0,43.0,39.0,34.0,34.0,42.0,99.65,99.78,99.53,99.56,99.59,99.81,99.61,99.65,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,97.06,100.0,100.0
3500758,0.0,56.1,43.9,100.0,0.0,0.0,1.22,1.22,0.0,1.22,0.61,1.83,2.44,2.44,1.83,5.49,4.27,3.05,3.66,11.59,15.24,6.1,8.54,11.59,9.15,6.1,3.05,0.61,0.0,0.0,0.0,0.0,0.0,17.07,28.66,11.59,10.98,14.63,6.71,10.37,0.0,0.0,92.0,72.0,164.0,0.0,0.0,2.0,2.0,0.0,2.0,1.0,3.0,4.0,4.0,3.0,9.0,7.0,5.0,6.0,19.0,25.0,10.0,14.0,19.0,15.0,10.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,28.0,47.0,19.0,18.0,24.0,11.0,17.0,0.0,99.78,99.78,,0.0,0.22,0.0,0.0,74.56,1.99,0.0,23.45,0.0,0.0,100.0,13.05,14.82,17.7,19.47,16.15,18.81,0.22,0.88,0.88,1.55,1.11,0.88,1.99,0.44,1.77,0.88,0.88,1.55,451.0,451.0,,0.0,1.0,0.0,0.0,337.0,9.0,0.0,106.0,0.0,0.0,452.0,59.0,67.0,80.0,88.0,73.0,85.0,1.0,4.0,4.0,7.0,5.0,4.0,9.0,2.0,8.0,4.0,4.0,7.0,99.78,100.0,100.0,100.0,98.86,100.0,100.0,99.69,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
3500808,0.0,58.1,41.9,100.0,2.86,0.0,3.81,0.95,0.0,0.0,0.0,0.95,0.95,0.0,1.9,3.81,0.95,2.86,1.9,4.76,10.48,9.52,17.14,13.33,19.05,6.67,1.9,0.0,1.9,0.0,0.95,0.0,0.0,17.14,20.0,8.57,17.14,16.19,9.52,11.43,0.0,0.0,61.0,44.0,105.0,3.0,0.0,4.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,4.0,1.0,3.0,2.0,5.0,11.0,10.0,18.0,14.0,20.0,7.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,18.0,21.0,9.0,18.0,17.0,10.0,12.0,0.0,99.64,99.64,,0.0,0.36,0.0,0.0,60.85,4.63,0.36,34.16,0.0,0.0,100.0,14.59,17.44,15.3,16.73,22.42,13.52,0.71,0.71,2.14,1.42,1.07,1.78,0.71,1.42,0.71,1.78,1.42,0.71,280.0,280.0,,0.0,1.0,0.0,0.0,171.0,13.0,1.0,96.0,0.0,0.0,281.0,41.0,49.0,43.0,47.0,63.0,38.0,2.0,2.0,6.0,4.0,3.0,5.0,2.0,4.0,2.0,5.0,4.0,2.0,99.64,100.0,100.0,100.0,100.0,98.41,100.0,99.48,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
