FID,DFITFS
InventarioFlorestal2001.1,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.2,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.3,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.4,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.5,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.6,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.7,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.8,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.9,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.10,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.11,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.12,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.13,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.14,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.15,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.16,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.17,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.18,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.19,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.20,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.21,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.22,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.23,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.24,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.25,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.26,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.27,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.28,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.29,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.30,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.31,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.32,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.33,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.34,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.35,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.36,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.37,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.38,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.39,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.40,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.41,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.42,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.43,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.44,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.45,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.46,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.47,Vegetação Secundária da Floresta Ombrófila Mista
InventarioFlorestal2001.48,Vegetação Secundária da Floresta Ombrófila Mista
