FID,FITOFISION
InventarioFlorestal2020.1,Floresta Ombrófila Densa
InventarioFlorestal2020.2,Floresta Ombrófila Densa
InventarioFlorestal2020.3,Floresta Ombrófila Densa
InventarioFlorestal2020.4,Floresta Ombrófila Densa
InventarioFlorestal2020.5,Floresta Ombrófila Densa
InventarioFlorestal2020.6,Floresta Ombrófila Densa
InventarioFlorestal2020.7,Floresta Ombrófila Densa
InventarioFlorestal2020.8,Floresta Ombrófila Densa
InventarioFlorestal2020.9,Floresta Ombrófila Densa
InventarioFlorestal2020.10,Floresta Ombrófila Densa
InventarioFlorestal2020.11,Floresta Ombrófila Densa
InventarioFlorestal2020.12,Floresta Ombrófila Densa
InventarioFlorestal2020.13,Floresta Ombrófila Densa
InventarioFlorestal2020.14,Floresta Ombrófila Densa
InventarioFlorestal2020.15,Floresta Ombrófila Densa
InventarioFlorestal2020.16,Floresta Ombrófila Densa
InventarioFlorestal2020.17,Floresta Ombrófila Densa
InventarioFlorestal2020.18,Floresta Ombrófila Densa
InventarioFlorestal2020.19,Floresta Ombrófila Densa
InventarioFlorestal2020.20,Floresta Ombrófila Densa
InventarioFlorestal2020.21,Floresta Ombrófila Densa
InventarioFlorestal2020.22,Floresta Ombrófila Densa
InventarioFlorestal2020.23,Floresta Ombrófila Densa
InventarioFlorestal2020.24,Floresta Ombrófila Densa
InventarioFlorestal2020.25,Floresta Ombrófila Densa
InventarioFlorestal2020.26,Floresta Ombrófila Densa
InventarioFlorestal2020.27,Floresta Ombrófila Densa
InventarioFlorestal2020.28,Floresta Ombrófila Densa
InventarioFlorestal2020.29,Floresta Ombrófila Densa
InventarioFlorestal2020.30,Floresta Ombrófila Densa
InventarioFlorestal2020.31,Floresta Ombrófila Densa
InventarioFlorestal2020.32,Floresta Ombrófila Densa
InventarioFlorestal2020.33,Floresta Ombrófila Densa
InventarioFlorestal2020.34,Floresta Ombrófila Densa
InventarioFlorestal2020.35,Floresta Ombrófila Densa
InventarioFlorestal2020.36,Floresta Ombrófila Densa
InventarioFlorestal2020.37,Floresta Ombrófila Densa
InventarioFlorestal2020.38,Floresta Ombrófila Densa
InventarioFlorestal2020.39,Floresta Ombrófila Densa
InventarioFlorestal2020.40,Floresta Ombrófila Densa
InventarioFlorestal2020.41,Floresta Ombrófila Densa
InventarioFlorestal2020.42,Floresta Ombrófila Densa
InventarioFlorestal2020.43,Floresta Ombrófila Densa
InventarioFlorestal2020.44,Floresta Ombrófila Densa
InventarioFlorestal2020.45,Floresta Ombrófila Densa
InventarioFlorestal2020.46,Floresta Ombrófila Densa
InventarioFlorestal2020.47,Floresta Ombrófila Densa
InventarioFlorestal2020.48,Floresta Ombrófila Densa
InventarioFlorestal2020.49,Floresta Ombrófila Densa
InventarioFlorestal2020.50,Floresta Ombrófila Densa
InventarioFlorestal2020.51,Floresta Ombrófila Densa
InventarioFlorestal2020.52,Floresta Ombrófila Densa
InventarioFlorestal2020.53,Floresta Ombrófila Densa
InventarioFlorestal2020.54,Floresta Ombrófila Densa
InventarioFlorestal2020.55,Floresta Ombrófila Densa
InventarioFlorestal2020.56,Floresta Ombrófila Densa
InventarioFlorestal2020.57,Floresta Ombrófila Densa
InventarioFlorestal2020.58,Floresta Ombrófila Densa
InventarioFlorestal2020.59,Floresta Ombrófila Densa
InventarioFlorestal2020.60,Floresta Ombrófila Densa
InventarioFlorestal2020.61,Floresta Ombrófila Densa
InventarioFlorestal2020.62,Floresta Ombrófila Densa
InventarioFlorestal2020.63,Floresta Ombrófila Densa
InventarioFlorestal2020.64,Floresta Ombrófila Densa
InventarioFlorestal2020.65,Floresta Ombrófila Densa
InventarioFlorestal2020.66,Floresta Ombrófila Densa
InventarioFlorestal2020.67,Floresta Ombrófila Densa
InventarioFlorestal2020.68,Floresta Ombrófila Densa
InventarioFlorestal2020.69,Floresta Ombrófila Densa
InventarioFlorestal2020.70,Floresta Ombrófila Densa
InventarioFlorestal2020.71,Floresta Ombrófila Densa
InventarioFlorestal2020.72,Floresta Ombrófila Densa
InventarioFlorestal2020.73,Floresta Ombrófila Densa
InventarioFlorestal2020.74,Floresta Ombrófila Densa
InventarioFlorestal2020.75,Floresta Ombrófila Densa
InventarioFlorestal2020.76,Floresta Ombrófila Densa
InventarioFlorestal2020.77,Floresta Ombrófila Densa
InventarioFlorestal2020.78,Floresta Ombrófila Densa
InventarioFlorestal2020.79,Floresta Ombrófila Densa
InventarioFlorestal2020.80,Floresta Ombrófila Densa
InventarioFlorestal2020.81,Floresta Ombrófila Densa
InventarioFlorestal2020.82,Floresta Ombrófila Densa
InventarioFlorestal2020.83,Floresta Ombrófila Densa
InventarioFlorestal2020.84,Floresta Ombrófila Densa
InventarioFlorestal2020.85,Floresta Ombrófila Densa
InventarioFlorestal2020.86,Floresta Ombrófila Densa
InventarioFlorestal2020.87,Floresta Ombrófila Densa
InventarioFlorestal2020.88,Floresta Ombrófila Densa
InventarioFlorestal2020.89,Floresta Ombrófila Densa
InventarioFlorestal2020.90,Floresta Ombrófila Densa
InventarioFlorestal2020.91,Floresta Ombrófila Densa
InventarioFlorestal2020.92,Floresta Ombrófila Densa
InventarioFlorestal2020.93,Floresta Ombrófila Densa
InventarioFlorestal2020.94,Floresta Ombrófila Densa
InventarioFlorestal2020.95,Floresta Ombrófila Densa
InventarioFlorestal2020.96,Floresta Ombrófila Densa
InventarioFlorestal2020.97,Floresta Ombrófila Densa
InventarioFlorestal2020.98,Floresta Ombrófila Densa
InventarioFlorestal2020.99,Floresta Ombrófila Densa
InventarioFlorestal2020.100,Floresta Ombrófila Densa
